BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD 
706 Syddjurs;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;28973
707 Norddjurs;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;839
707 Norddjurs;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2600
707 Norddjurs;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;122
707 Norddjurs;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;588
707 Norddjurs;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;27
707 Norddjurs;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;26653
710 Favrskov;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1657
710 Favrskov;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;4421
710 Favrskov;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;314
710 Favrskov;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;1961
710 Favrskov;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;177
710 Favrskov;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;32323
727 Odder;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;720
727 Odder;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2266
727 Odder;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;154
727 Odder;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;818
727 Odder;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;49
727 Odder;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;15041
730 Randers;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;3380
730 Randers;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;7774
730 Randers;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;466
730 Randers;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;2384
730 Randers;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;118
730 Randers;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;67403
740 Silkeborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;3115
740 Silkeborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;9408
740 Silkeborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;532
740 Silkeborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;3201
740 Silkeborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;153
740 Silkeborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;62188
741 Samsø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;81
741 Samsø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;359
741 Samsø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;27
741 Samsø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;101
741 Samsø;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;2
741 Samsø;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;2599
746 Skanderborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;2292
746 Skanderborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;6235
746 Skanderborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;416
746 Skanderborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;3128
746 Skanderborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;229
746 Skanderborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;40081
751 Aarhus;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;10389
751 Aarhus;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;34540
751 Aarhus;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;11623
751 Aarhus;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;26224
751 Aarhus;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;2399
751 Aarhus;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;235788
756 Ikast-Brande;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1195
756 Ikast-Brande;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2807
756 Ikast-Brande;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;182
756 Ikast-Brande;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;754
756 Ikast-Brande;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;37
756 Ikast-Brande;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;28212
760 Ringkøbing-Skjern;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1452
760 Ringkøbing-Skjern;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;4425
760 Ringkøbing-Skjern;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;184
760 Ringkøbing-Skjern;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;1100
760 Ringkøbing-Skjern;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;31
760 Ringkøbing-Skjern;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;39570
766 Hedensted;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1564
766 Hedensted;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;3700
766 Hedensted;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;154
766 Hedensted;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;762
766 Hedensted;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;27
766 Hedensted;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;31534
773 Morsø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;435
773 Morsø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;1461
773 Morsø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;49
773 Morsø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;324
773 Morsø;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;9
773 Morsø;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;14720
779 Skive;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1320
779 Skive;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;4099
779 Skive;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;115
779 Skive;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;884
779 Skive;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;24
779 Skive;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;33003
787 Thisted;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1024
787 Thisted;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;3303
787 Thisted;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;127
787 Thisted;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;846
787 Thisted;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;20
787 Thisted;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;31299
791 Viborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;2912
791 Viborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;8896
791 Viborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;342
791 Viborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;3251
791 Viborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;248
791 Viborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;65290
810 Brønderslev;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;911
810 Brønderslev;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;3135
810 Brønderslev;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;139
810 Brønderslev;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;795
810 Brønderslev;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;41
810 Brønderslev;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;24328
813 Frederikshavn;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1663
813 Frederikshavn;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;4749
813 Frederikshavn;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;175
813 Frederikshavn;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;1005
813 Frederikshavn;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;32
813 Frederikshavn;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;42916
820 Vesthimmerlands;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;900
820 Vesthimmerlands;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2838
820 Vesthimmerlands;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;92
820 Vesthimmerlands;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;590
820 Vesthimmerlands;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;17
820 Vesthimmerlands;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;25925
825 Læsø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;31
825 Læsø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;133
825 Læsø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;7
825 Læsø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;35
825 Læsø;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;1306
840 Rebild;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;821
840 Rebild;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2679
840 Rebild;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;158
840 Rebild;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;1165
840 Rebild;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;81
840 Rebild;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;19862
846 Mariagerfjord;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1217
846 Mariagerfjord;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;3487
846 Mariagerfjord;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;154
846 Mariagerfjord;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;969
846 Mariagerfjord;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;46
846 Mariagerfjord;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;29795
849 Jammerbugt;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;940
849 Jammerbugt;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;2988
849 Jammerbugt;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;165
849 Jammerbugt;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;731
849 Jammerbugt;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;25
849 Jammerbugt;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;26848
851 Aalborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;6316
851 Aalborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;19616
851 Aalborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;4293
851 Aalborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;10993
851 Aalborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;734
851 Aalborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;146765
860 Hjørring;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2011 2011;1590
860 Hjørring;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2011 2011;6048
860 Hjørring;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2011 2011;228
860 Hjørring;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2011 2011;1337
860 Hjørring;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2011 2011;50
860 Hjørring;TOT Total;TOT Total;TOT Age, total;TOT Total;2011 2011;46130
000 All Denmark;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;174455
000 All Denmark;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;532317
000 All Denmark;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;82700
000 All Denmark;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;291215
000 All Denmark;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;22326
000 All Denmark;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;3977036
101 Copenhagen;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;17915
101 Copenhagen;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;58111
101 Copenhagen;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;29186
101 Copenhagen;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;67662
101 Copenhagen;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;5234
101 Copenhagen;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;435601
147 Frederiksberg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;3258
147 Frederiksberg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;11140
147 Frederiksberg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;5227
147 Frederiksberg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;15942
147 Frederiksberg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;1230
147 Frederiksberg;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;75686
151 Ballerup;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1419
151 Ballerup;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;4186
151 Ballerup;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;323
151 Ballerup;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;2161
151 Ballerup;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;261
151 Ballerup;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;32977
153 Brøndby;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1017
153 Brøndby;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;2215
153 Brøndby;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;231
153 Brøndby;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;974
153 Brøndby;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;51
153 Brøndby;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;23993
155 Dragør;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;492
155 Dragør;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;1359
155 Dragør;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;149
155 Dragør;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;912
155 Dragør;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;61
155 Dragør;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;9239
157 Gentofte;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;2262
157 Gentofte;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;8146
157 Gentofte;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;1655
157 Gentofte;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;11703
157 Gentofte;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;1021
157 Gentofte;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;50158
159 Gladsaxe;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;2129
159 Gladsaxe;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;6733
159 Gladsaxe;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;975
159 Gladsaxe;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;5275
159 Gladsaxe;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;619
159 Gladsaxe;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;46105
161 Glostrup;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;716
161 Glostrup;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;1752
161 Glostrup;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;174
161 Glostrup;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;777
161 Glostrup;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;51
161 Glostrup;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;15355
163 Herlev;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;816
163 Herlev;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;2484
163 Herlev;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;206
163 Herlev;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1207
163 Herlev;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;110
163 Herlev;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;18506
165 Albertslund;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;822
165 Albertslund;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;2680
165 Albertslund;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;274
165 Albertslund;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1184
165 Albertslund;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;70
165 Albertslund;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;19959
167 Hvidovre;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1616
167 Hvidovre;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;4081
167 Hvidovre;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;534
167 Hvidovre;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1965
167 Hvidovre;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;154
167 Hvidovre;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;36074
169 Høje-Taastrup;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1616
169 Høje-Taastrup;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;3543
169 Høje-Taastrup;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;361
169 Høje-Taastrup;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1637
169 Høje-Taastrup;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;151
169 Høje-Taastrup;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;34281
173 Lyngby-Taarbæk;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1594
173 Lyngby-Taarbæk;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;6001
173 Lyngby-Taarbæk;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;1286
173 Lyngby-Taarbæk;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;7321
173 Lyngby-Taarbæk;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;833
173 Lyngby-Taarbæk;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;36745
175 Rødovre;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1117
175 Rødovre;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;3138
175 Rødovre;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;392
175 Rødovre;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1674
175 Rødovre;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;154
175 Rødovre;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;25827
183 Ishøj;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;565
183 Ishøj;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;1270
183 Ishøj;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;140
183 Ishøj;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;543
183 Ishøj;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;35
183 Ishøj;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;15311
185 Tårnby;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1313
185 Tårnby;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;2794
185 Tårnby;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;342
185 Tårnby;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;1326
185 Tårnby;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;90
185 Tårnby;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;28825
187 Vallensbæk;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;576
187 Vallensbæk;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;1315
187 Vallensbæk;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;141
187 Vallensbæk;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;701
187 Vallensbæk;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;46
187 Vallensbæk;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;10204
190 Furesø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1207
190 Furesø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;4693
190 Furesø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;428
190 Furesø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;4049
190 Furesø;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;493
190 Furesø;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;25488
201 Allerød;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;901
201 Allerød;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;2809
201 Allerød;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;247
201 Allerød;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;2336
201 Allerød;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;273
201 Allerød;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;16235
210 Fredensborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1312
210 Fredensborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;4363
210 Fredensborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;512
210 Fredensborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;3014
210 Fredensborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;282
210 Fredensborg;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;27533
217 Helsingør;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1963
217 Helsingør;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;6446
217 Helsingør;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;530
217 Helsingør;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2012 2012;3103
217 Helsingør;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2012 2012;196
217 Helsingør;TOT Total;TOT Total;TOT Age, total;TOT Total;2012 2012;42590
219 Hillerød;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2012 2012;1773
219 Hillerød;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2012 2012;5612
219 Hillerød;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2012 2012;413
