BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
165 Albertslund;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;995
165 Albertslund;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;53
165 Albertslund;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;20307
167 Hvidovre;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1446
167 Hvidovre;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3551
167 Hvidovre;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;428
167 Hvidovre;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1540
167 Hvidovre;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;90
167 Hvidovre;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;34492
169 Høje-Taastrup;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1523
169 Høje-Taastrup;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;3296
169 Høje-Taastrup;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;303
169 Høje-Taastrup;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1433
169 Høje-Taastrup;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;102
169 Høje-Taastrup;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;33993
173 Lyngby-Taarbæk;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1458
173 Lyngby-Taarbæk;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;5642
173 Lyngby-Taarbæk;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;972
173 Lyngby-Taarbæk;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;6259
173 Lyngby-Taarbæk;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;594
173 Lyngby-Taarbæk;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;35047
175 Rødovre;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;978
175 Rødovre;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2809
175 Rødovre;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;317
175 Rødovre;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;1316
175 Rødovre;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;117
175 Rødovre;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;24809
183 Ishøj;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;524
183 Ishøj;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;1140
183 Ishøj;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;112
183 Ishøj;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;421
183 Ishøj;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;24
183 Ishøj;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;15280
185 Tårnby;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1181
185 Tårnby;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2419
185 Tårnby;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;251
185 Tårnby;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;956
185 Tårnby;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;50
185 Tårnby;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;27941
187 Vallensbæk;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;509
187 Vallensbæk;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;1178
187 Vallensbæk;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;99
187 Vallensbæk;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;529
187 Vallensbæk;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;32
187 Vallensbæk;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;9480
190 Furesø;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1160
190 Furesø;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4684
190 Furesø;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;378
190 Furesø;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;3710
190 Furesø;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;387
190 Furesø;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;25381
201 Allerød;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;897
201 Allerød;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;2806
201 Allerød;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;227
201 Allerød;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;2095
201 Allerød;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;226
201 Allerød;TOT Total;TOT Total;TOT Age, total;TOT Total;2008 2008;16150
210 Fredensborg;TOT Total;H40 H40 Short cycle higher education;TOT Age, total;TOT Total;2008 2008;1263
210 Fredensborg;TOT Total;H50 H50 Vocational bachelors educations;TOT Age, total;TOT Total;2008 2008;4338
210 Fredensborg;TOT Total;H60 H60 Bachelors programs;TOT Age, total;TOT Total;2008 2008;414
210 Fredensborg;TOT Total;H70 H70 Masters programs;TOT Age, total;TOT Total;2008 2008;2812
210 Fredensborg;TOT Total;H80 H80 PhD programs;TOT Age, total;TOT Total;2008 2008;220
