DECILGEN;KOMMUNEDK;TID;INDHOLD 
6DC Sixth decil;240 Egedal;2020 2020;339949
6DC Sixth decil;250 Frederikssund;2020 2020;300952
6DC Sixth decil;253 Greve;2020 2020;321275
6DC Sixth decil;259 Køge;2020 2020;294348
6DC Sixth decil;260 Halsnæs;2020 2020;276782
6DC Sixth decil;265 Roskilde;2020 2020;325238
6DC Sixth decil;269 Solrød;2020 2020;343680
6DC Sixth decil;270 Gribskov;2020 2020;299607
6DC Sixth decil;306 Odsherred;2020 2020;257056
6DC Sixth decil;316 Holbæk;2020 2020;283475
6DC Sixth decil;320 Faxe;2020 2020;275406
6DC Sixth decil;326 Kalundborg;2020 2020;273700
6DC Sixth decil;329 Ringsted;2020 2020;284699
6DC Sixth decil;330 Slagelse;2020 2020;264871
6DC Sixth decil;336 Stevns;2020 2020;289303
6DC Sixth decil;340 Sorø;2020 2020;282069
6DC Sixth decil;350 Lejre;2020 2020;311995
6DC Sixth decil;360 Lolland;2020 2020;227953
6DC Sixth decil;370 Næstved;2020 2020;277206
6DC Sixth decil;376 Guldborgsund;2020 2020;249838
6DC Sixth decil;390 Vordingborg;2020 2020;260200
6DC Sixth decil;400 Bornholm;2020 2020;241980
6DC Sixth decil;410 Middelfart;2020 2020;288623
6DC Sixth decil;420 Assens;2020 2020;263770
6DC Sixth decil;430 Faaborg-Midtfyn;2020 2020;265759
6DC Sixth decil;440 Kerteminde;2020 2020;267820
6DC Sixth decil;450 Nyborg;2020 2020;260940
6DC Sixth decil;461 Odense;2020 2020;257946
6DC Sixth decil;479 Svendborg;2020 2020;265167
6DC Sixth decil;480 Nordfyns;2020 2020;264267
6DC Sixth decil;482 Langeland;2020 2020;233186
6DC Sixth decil;492 Ærø;2020 2020;241708
6DC Sixth decil;510 Haderslev;2020 2020;257533
6DC Sixth decil;530 Billund;2020 2020;278366
6DC Sixth decil;540 Sønderborg;2020 2020;259247
6DC Sixth decil;550 Tønder;2020 2020;248671
6DC Sixth decil;561 Esbjerg;2020 2020;271424
6DC Sixth decil;563 Fanø;2020 2020;287678
6DC Sixth decil;573 Varde;2020 2020;273717
6DC Sixth decil;575 Vejen;2020 2020;266046
6DC Sixth decil;580 Aabenraa;2020 2020;256886
6DC Sixth decil;607 Fredericia;2020 2020;268240
6DC Sixth decil;615 Horsens;2020 2020;280581
6DC Sixth decil;621 Kolding;2020 2020;282109
6DC Sixth decil;630 Vejle;2020 2020;290808
6DC Sixth decil;657 Herning;2020 2020;279749
6DC Sixth decil;661 Holstebro;2020 2020;277191
6DC Sixth decil;665 Lemvig;2020 2020;271341
6DC Sixth decil;671 Struer;2020 2020;260667
6DC Sixth decil;706 Syddjurs;2020 2020;285208
6DC Sixth decil;707 Norddjurs;2020 2020;255933
6DC Sixth decil;710 Favrskov;2020 2020;306093
6DC Sixth decil;727 Odder;2020 2020;296628
6DC Sixth decil;730 Randers;2020 2020;265472
6DC Sixth decil;740 Silkeborg;2020 2020;296532
6DC Sixth decil;741 Samsø;2020 2020;253912
6DC Sixth decil;746 Skanderborg;2020 2020;322128
6DC Sixth decil;751 Aarhus;2020 2020;277173
6DC Sixth decil;756 Ikast-Brande;2020 2020;273548
6DC Sixth decil;760 Ringkøbing-Skjern;2020 2020;270020
6DC Sixth decil;766 Hedensted;2020 2020;285600
6DC Sixth decil;773 Morsø;2020 2020;248559
6DC Sixth decil;779 Skive;2020 2020;264296
6DC Sixth decil;787 Thisted;2020 2020;260958
6DC Sixth decil;791 Viborg;2020 2020;278676
6DC Sixth decil;810 Brønderslev;2020 2020;263708
6DC Sixth decil;813 Frederikshavn;2020 2020;260082
6DC Sixth decil;820 Vesthimmerlands;2020 2020;255068
6DC Sixth decil;825 Læsø;2020 2020;246241
6DC Sixth decil;840 Rebild;2020 2020;294330
6DC Sixth decil;846 Mariagerfjord;2020 2020;267025
6DC Sixth decil;849 Jammerbugt;2020 2020;267328
6DC Sixth decil;851 Aalborg;2020 2020;267043
6DC Sixth decil;860 Hjørring;2020 2020;261961
7DC Seventh decil;000 All Denmark;2020 2020;315119
7DC Seventh decil;101 Copenhagen;2020 2020;305754
7DC Seventh decil;147 Frederiksberg;2020 2020;358879
7DC Seventh decil;151 Ballerup;2020 2020;322764
7DC Seventh decil;153 Brøndby;2020 2020;282075
7DC Seventh decil;155 Dragør;2020 2020;418183
7DC Seventh decil;157 Gentofte;2020 2020;519098
7DC Seventh decil;159 Gladsaxe;2020 2020;353058
7DC Seventh decil;161 Glostrup;2020 2020;322678
7DC Seventh decil;163 Herlev;2020 2020;325084
7DC Seventh decil;165 Albertslund;2020 2020;286982
7DC Seventh decil;167 Hvidovre;2020 2020;322832
7DC Seventh decil;169 Høje-Taastrup;2020 2020;308301
7DC Seventh decil;173 Lyngby-Taarbæk;2020 2020;434013
7DC Seventh decil;175 Rødovre;2020 2020;320649
7DC Seventh decil;183 Ishøj;2020 2020;272664
7DC Seventh decil;185 Tårnby;2020 2020;346887
7DC Seventh decil;187 Vallensbæk;2020 2020;350720
7DC Seventh decil;190 Furesø;2020 2020;418897
7DC Seventh decil;201 Allerød;2020 2020;417777
7DC Seventh decil;210 Fredensborg;2020 2020;361197
7DC Seventh decil;217 Helsingør;2020 2020;339715
7DC Seventh decil;219 Hillerød;2020 2020;359063
7DC Seventh decil;223 Hørsholm;2020 2020;476172
7DC Seventh decil;230 Rudersdal;2020 2020;493348
7DC Seventh decil;240 Egedal;2020 2020;370326
7DC Seventh decil;250 Frederikssund;2020 2020;334123
7DC Seventh decil;253 Greve;2020 2020;357057
7DC Seventh decil;259 Køge;2020 2020;327077
7DC Seventh decil;260 Halsnæs;2020 2020;306170
7DC Seventh decil;265 Roskilde;2020 2020;361929
7DC Seventh decil;269 Solrød;2020 2020;379819
7DC Seventh decil;270 Gribskov;2020 2020;333012
7DC Seventh decil;306 Odsherred;2020 2020;285246
7DC Seventh decil;316 Holbæk;2020 2020;314775
7DC Seventh decil;320 Faxe;2020 2020;304490
7DC Seventh decil;326 Kalundborg;2020 2020;305994
7DC Seventh decil;329 Ringsted;2020 2020;315476
7DC Seventh decil;330 Slagelse;2020 2020;296194
7DC Seventh decil;336 Stevns;2020 2020;319153
7DC Seventh decil;340 Sorø;2020 2020;312878
7DC Seventh decil;350 Lejre;2020 2020;343247
7DC Seventh decil;360 Lolland;2020 2020;254491
7DC Seventh decil;370 Næstved;2020 2020;308317
7DC Seventh decil;376 Guldborgsund;2020 2020;277982
7DC Seventh decil;390 Vordingborg;2020 2020;289107
7DC Seventh decil;400 Bornholm;2020 2020;266977
7DC Seventh decil;410 Middelfart;2020 2020;319488
7DC Seventh decil;420 Assens;2020 2020;290935
7DC Seventh decil;430 Faaborg-Midtfyn;2020 2020;291885
7DC Seventh decil;440 Kerteminde;2020 2020;296664
7DC Seventh decil;450 Nyborg;2020 2020;288816
7DC Seventh decil;461 Odense;2020 2020;292158
7DC Seventh decil;479 Svendborg;2020 2020;295464
7DC Seventh decil;480 Nordfyns;2020 2020;291966
7DC Seventh decil;482 Langeland;2020 2020;257620
7DC Seventh decil;492 Ærø;2020 2020;268385
7DC Seventh decil;510 Haderslev;2020 2020;285453
7DC Seventh decil;530 Billund;2020 2020;308141
7DC Seventh decil;540 Sønderborg;2020 2020;288889
7DC Seventh decil;550 Tønder;2020 2020;275088
7DC Seventh decil;561 Esbjerg;2020 2020;302218
7DC Seventh decil;563 Fanø;2020 2020;316325
7DC Seventh decil;573 Varde;2020 2020;301196
7DC Seventh decil;575 Vejen;2020 2020;293129
7DC Seventh decil;580 Aabenraa;2020 2020;284742
7DC Seventh decil;607 Fredericia;2020 2020;299737
7DC Seventh decil;615 Horsens;2020 2020;311475
7DC Seventh decil;621 Kolding;2020 2020;313482
7DC Seventh decil;630 Vejle;2020 2020;323779
7DC Seventh decil;657 Herning;2020 2020;309305
7DC Seventh decil;661 Holstebro;2020 2020;305798
7DC Seventh decil;665 Lemvig;2020 2020;299937
7DC Seventh decil;671 Struer;2020 2020;289584
7DC Seventh decil;706 Syddjurs;2020 2020;313621
7DC Seventh decil;707 Norddjurs;2020 2020;282962
7DC Seventh decil;710 Favrskov;2020 2020;334429
7DC Seventh decil;727 Odder;2020 2020;327941
7DC Seventh decil;730 Randers;2020 2020;295118
7DC Seventh decil;740 Silkeborg;2020 2020;328009
7DC Seventh decil;741 Samsø;2020 2020;280605
7DC Seventh decil;746 Skanderborg;2020 2020;353130
7DC Seventh decil;751 Aarhus;2020 2020;318303
7DC Seventh decil;756 Ikast-Brande;2020 2020;300729
7DC Seventh decil;760 Ringkøbing-Skjern;2020 2020;297995
7DC Seventh decil;766 Hedensted;2020 2020;314072
7DC Seventh decil;773 Morsø;2020 2020;275627
7DC Seventh decil;779 Skive;2020 2020;291745
7DC Seventh decil;787 Thisted;2020 2020;287499
7DC Seventh decil;791 Viborg;2020 2020;307856
7DC Seventh decil;810 Brønderslev;2020 2020;291089
7DC Seventh decil;813 Frederikshavn;2020 2020;289102
7DC Seventh decil;820 Vesthimmerlands;2020 2020;282046
7DC Seventh decil;825 Læsø;2020 2020;271301
7DC Seventh decil;840 Rebild;2020 2020;323925
7DC Seventh decil;846 Mariagerfjord;2020 2020;294947
7DC Seventh decil;849 Jammerbugt;2020 2020;294132
7DC Seventh decil;851 Aalborg;2020 2020;300392
7DC Seventh decil;860 Hjørring;2020 2020;289989
8DC Eigth decil;000 All Denmark;2020 2020;357273
8DC Eigth decil;101 Copenhagen;2020 2020;355282
8DC Eigth decil;147 Frederiksberg;2020 2020;417586
8DC Eigth decil;151 Ballerup;2020 2020;368208
8DC Eigth decil;153 Brøndby;2020 2020;322887
8DC Eigth decil;155 Dragør;2020 2020;467970
8DC Eigth decil;157 Gentofte;2020 2020;613004
8DC Eigth decil;159 Gladsaxe;2020 2020;402242
8DC Eigth decil;161 Glostrup;2020 2020;365338
8DC Eigth decil;163 Herlev;2020 2020;366137
8DC Eigth decil;165 Albertslund;2020 2020;321504
8DC Eigth decil;167 Hvidovre;2020 2020;363471
8DC Eigth decil;169 Høje-Taastrup;2020 2020;347436
8DC Eigth decil;173 Lyngby-Taarbæk;2020 2020;496558
8DC Eigth decil;175 Rødovre;2020 2020;362541
8DC Eigth decil;183 Ishøj;2020 2020;308919
8DC Eigth decil;185 Tårnby;2020 2020;384248
8DC Eigth decil;187 Vallensbæk;2020 2020;392371
8DC Eigth decil;190 Furesø;2020 2020;471997
8DC Eigth decil;201 Allerød;2020 2020;464130
8DC Eigth decil;210 Fredensborg;2020 2020;409738
8DC Eigth decil;217 Helsingør;2020 2020;385082
8DC Eigth decil;219 Hillerød;2020 2020;402770
8DC Eigth decil;223 Hørsholm;2020 2020;551679
8DC Eigth decil;230 Rudersdal;2020 2020;566923
8DC Eigth decil;240 Egedal;2020 2020;410557
8DC Eigth decil;250 Frederikssund;2020 2020;373108
8DC Eigth decil;253 Greve;2020 2020;398039
8DC Eigth decil;259 Køge;2020 2020;366458
8DC Eigth decil;260 Halsnæs;2020 2020;339968
8DC Eigth decil;265 Roskilde;2020 2020;406545
8DC Eigth decil;269 Solrød;2020 2020;424393
8DC Eigth decil;270 Gribskov;2020 2020;373200
8DC Eigth decil;306 Odsherred;2020 2020;319891
8DC Eigth decil;316 Holbæk;2020 2020;352088
8DC Eigth decil;320 Faxe;2020 2020;339640
8DC Eigth decil;326 Kalundborg;2020 2020;343530
8DC Eigth decil;329 Ringsted;2020 2020;352197
8DC Eigth decil;330 Slagelse;2020 2020;332546
8DC Eigth decil;336 Stevns;2020 2020;355309
8DC Eigth decil;340 Sorø;2020 2020;349642
8DC Eigth decil;350 Lejre;2020 2020;381450
8DC Eigth decil;360 Lolland;2020 2020;286440
8DC Eigth decil;370 Næstved;2020 2020;346375
8DC Eigth decil;376 Guldborgsund;2020 2020;311887
8DC Eigth decil;390 Vordingborg;2020 2020;324629
8DC Eigth decil;400 Bornholm;2020 2020;297867
8DC Eigth decil;410 Middelfart;2020 2020;357288
8DC Eigth decil;420 Assens;2020 2020;324059
8DC Eigth decil;430 Faaborg-Midtfyn;2020 2020;322857
8DC Eigth decil;440 Kerteminde;2020 2020;332263
8DC Eigth decil;450 Nyborg;2020 2020;323634
8DC Eigth decil;461 Odense;2020 2020;331161
8DC Eigth decil;479 Svendborg;2020 2020;332360
8DC Eigth decil;480 Nordfyns;2020 2020;324803
8DC Eigth decil;482 Langeland;2020 2020;289823
8DC Eigth decil;492 Ærø;2020 2020;302878
8DC Eigth decil;510 Haderslev;2020 2020;319907
8DC Eigth decil;530 Billund;2020 2020;343188
8DC Eigth decil;540 Sønderborg;2020 2020;325494
8DC Eigth decil;550 Tønder;2020 2020;309112
8DC Eigth decil;561 Esbjerg;2020 2020;339058
8DC Eigth decil;563 Fanø;2020 2020;355021
8DC Eigth decil;573 Varde;2020 2020;334497
8DC Eigth decil;575 Vejen;2020 2020;326796
8DC Eigth decil;580 Aabenraa;2020 2020;320309
8DC Eigth decil;607 Fredericia;2020 2020;338633
8DC Eigth decil;615 Horsens;2020 2020;346985
8DC Eigth decil;621 Kolding;2020 2020;352216
8DC Eigth decil;630 Vejle;2020 2020;364163
8DC Eigth decil;657 Herning;2020 2020;345315
8DC Eigth decil;661 Holstebro;2020 2020;340033
8DC Eigth decil;665 Lemvig;2020 2020;334930
8DC Eigth decil;671 Struer;2020 2020;324439
8DC Eigth decil;706 Syddjurs;2020 2020;349303
8DC Eigth decil;707 Norddjurs;2020 2020;315572
8DC Eigth decil;710 Favrskov;2020 2020;370307
8DC Eigth decil;727 Odder;2020 2020;366233
8DC Eigth decil;730 Randers;2020 2020;330317
8DC Eigth decil;740 Silkeborg;2020 2020;366333
8DC Eigth decil;741 Samsø;2020 2020;314862
8DC Eigth decil;746 Skanderborg;2020 2020;390675
8DC Eigth decil;751 Aarhus;2020 2020;364733
8DC Eigth decil;756 Ikast-Brande;2020 2020;334087
8DC Eigth decil;760 Ringkøbing-Skjern;2020 2020;332195
8DC Eigth decil;766 Hedensted;2020 2020;347790
8DC Eigth decil;773 Morsø;2020 2020;308089
8DC Eigth decil;779 Skive;2020 2020;325540
8DC Eigth decil;787 Thisted;2020 2020;320599
8DC Eigth decil;791 Viborg;2020 2020;342883
8DC Eigth decil;810 Brønderslev;2020 2020;322690
8DC Eigth decil;813 Frederikshavn;2020 2020;324062
8DC Eigth decil;820 Vesthimmerlands;2020 2020;314893
8DC Eigth decil;825 Læsø;2020 2020;303793
8DC Eigth decil;840 Rebild;2020 2020;357004
8DC Eigth decil;846 Mariagerfjord;2020 2020;330128
8DC Eigth decil;849 Jammerbugt;2020 2020;327719
8DC Eigth decil;851 Aalborg;2020 2020;338829
8DC Eigth decil;860 Hjørring;2020 2020;323611
9DC Ninth decil;000 All Denmark;2020 2020;419353
9DC Ninth decil;101 Copenhagen;2020 2020;425682
9DC Ninth decil;147 Frederiksberg;2020 2020;507977
9DC Ninth decil;151 Ballerup;2020 2020;430367
9DC Ninth decil;153 Brøndby;2020 2020;377618
9DC Ninth decil;155 Dragør;2020 2020;543729
9DC Ninth decil;157 Gentofte;2020 2020;770374
9DC Ninth decil;159 Gladsaxe;2020 2020;471106
9DC Ninth decil;161 Glostrup;2020 2020;423972
9DC Ninth decil;163 Herlev;2020 2020;421251
9DC Ninth decil;165 Albertslund;2020 2020;371556
9DC Ninth decil;167 Hvidovre;2020 2020;415411
9DC Ninth decil;169 Høje-Taastrup;2020 2020;401949
9DC Ninth decil;173 Lyngby-Taarbæk;2020 2020;593142
9DC Ninth decil;175 Rødovre;2020 2020;417873
9DC Ninth decil;183 Ishøj;2020 2020;360808
9DC Ninth decil;185 Tårnby;2020 2020;434577
9DC Ninth decil;187 Vallensbæk;2020 2020;448983
9DC Ninth decil;190 Furesø;2020 2020;551467
9DC Ninth decil;201 Allerød;2020 2020;534804
9DC Ninth decil;210 Fredensborg;2020 2020;485416
9DC Ninth decil;217 Helsingør;2020 2020;454533
9DC Ninth decil;219 Hillerød;2020 2020;466897
9DC Ninth decil;223 Hørsholm;2020 2020;678274
9DC Ninth decil;230 Rudersdal;2020 2020;690336
9DC Ninth decil;240 Egedal;2020 2020;467459
9DC Ninth decil;250 Frederikssund;2020 2020;429909
9DC Ninth decil;253 Greve;2020 2020;459577
9DC Ninth decil;259 Køge;2020 2020;422581
9DC Ninth decil;260 Halsnæs;2020 2020;389593
9DC Ninth decil;265 Roskilde;2020 2020;471569
9DC Ninth decil;269 Solrød;2020 2020;493207
9DC Ninth decil;270 Gribskov;2020 2020;433796
9DC Ninth decil;306 Odsherred;2020 2020;368092
9DC Ninth decil;316 Holbæk;2020 2020;406872
9DC Ninth decil;320 Faxe;2020 2020;389801
9DC Ninth decil;326 Kalundborg;2020 2020;395852
9DC Ninth decil;329 Ringsted;2020 2020;404469
9DC Ninth decil;330 Slagelse;2020 2020;382487
9DC Ninth decil;336 Stevns;2020 2020;407654
9DC Ninth decil;340 Sorø;2020 2020;401699
9DC Ninth decil;350 Lejre;2020 2020;439590
9DC Ninth decil;360 Lolland;2020 2020;333489
9DC Ninth decil;370 Næstved;2020 2020;398242
9DC Ninth decil;376 Guldborgsund;2020 2020;359227
9DC Ninth decil;390 Vordingborg;2020 2020;375680
9DC Ninth decil;400 Bornholm;2020 2020;343521
9DC Ninth decil;410 Middelfart;2020 2020;410986
9DC Ninth decil;420 Assens;2020 2020;371847
9DC Ninth decil;430 Faaborg-Midtfyn;2020 2020;371282
9DC Ninth decil;440 Kerteminde;2020 2020;383844
9DC Ninth decil;450 Nyborg;2020 2020;373196
9DC Ninth decil;461 Odense;2020 2020;384728
9DC Ninth decil;479 Svendborg;2020 2020;387887
9DC Ninth decil;480 Nordfyns;2020 2020;371418
9DC Ninth decil;482 Langeland;2020 2020;334571
9DC Ninth decil;492 Ærø;2020 2020;359185
9DC Ninth decil;510 Haderslev;2020 2020;372029
9DC Ninth decil;530 Billund;2020 2020;395536
9DC Ninth decil;540 Sønderborg;2020 2020;377705
9DC Ninth decil;550 Tønder;2020 2020;358715
9DC Ninth decil;561 Esbjerg;2020 2020;391950
9DC Ninth decil;563 Fanø;2020 2020;415631
9DC Ninth decil;573 Varde;2020 2020;383824
9DC Ninth decil;575 Vejen;2020 2020;377184
9DC Ninth decil;580 Aabenraa;2020 2020;372684
9DC Ninth decil;607 Fredericia;2020 2020;393839
9DC Ninth decil;615 Horsens;2020 2020;398070
9DC Ninth decil;621 Kolding;2020 2020;408590
9DC Ninth decil;630 Vejle;2020 2020;422905
9DC Ninth decil;657 Herning;2020 2020;398775
9DC Ninth decil;661 Holstebro;2020 2020;390938
9DC Ninth decil;665 Lemvig;2020 2020;387607
9DC Ninth decil;671 Struer;2020 2020;374083
9DC Ninth decil;706 Syddjurs;2020 2020;404390
9DC Ninth decil;707 Norddjurs;2020 2020;363648
9DC Ninth decil;710 Favrskov;2020 2020;422221
9DC Ninth decil;727 Odder;2020 2020;421844
9DC Ninth decil;730 Randers;2020 2020;379180
9DC Ninth decil;740 Silkeborg;2020 2020;422154
9DC Ninth decil;741 Samsø;2020 2020;366864
9DC Ninth decil;746 Skanderborg;2020 2020;445673
9DC Ninth decil;751 Aarhus;2020 2020;428918
9DC Ninth decil;756 Ikast-Brande;2020 2020;383577
9DC Ninth decil;760 Ringkøbing-Skjern;2020 2020;383565
9DC Ninth decil;766 Hedensted;2020 2020;398622
9DC Ninth decil;773 Morsø;2020 2020;354118
9DC Ninth decil;779 Skive;2020 2020;375350
9DC Ninth decil;787 Thisted;2020 2020;367569
9DC Ninth decil;791 Viborg;2020 2020;393124
9DC Ninth decil;810 Brønderslev;2020 2020;369303
9DC Ninth decil;813 Frederikshavn;2020 2020;375525
9DC Ninth decil;820 Vesthimmerlands;2020 2020;362513
9DC Ninth decil;825 Læsø;2020 2020;358367
9DC Ninth decil;840 Rebild;2020 2020;407873
9DC Ninth decil;846 Mariagerfjord;2020 2020;381329
9DC Ninth decil;849 Jammerbugt;2020 2020;373683
9DC Ninth decil;851 Aalborg;2020 2020;392082
9DC Ninth decil;860 Hjørring;2020 2020;373320
1DC First decil;000 All Denmark;2008 2008;33815
2DC Second decil;000 All Denmark;2008 2008;123441
3DC Third decil;000 All Denmark;2008 2008;144035
4DC Fourth decil;000 All Denmark;2008 2008;163606
5DC Fifth decil;000 All Denmark;2008 2008;182478
6DC Sixth decil;000 All Denmark;2008 2008;201136
7DC Seventh decil;000 All Denmark;2008 2008;221427
8DC Eigth decil;000 All Denmark;2008 2008;246484
9DC Ninth decil;000 All Denmark;2008 2008;283514
10DC Tenth decil;000 All Denmark;2008 2008;446011
1DC First decil;101 Copenhagen;2008 2008;35356
2DC Second decil;101 Copenhagen;2008 2008;99016
3DC Third decil;101 Copenhagen;2008 2008;121314
4DC Fourth decil;101 Copenhagen;2008 2008;140493
5DC Fifth decil;101 Copenhagen;2008 2008;161125
6DC Sixth decil;101 Copenhagen;2008 2008;183682
7DC Seventh decil;101 Copenhagen;2008 2008;207782
8DC Eigth decil;101 Copenhagen;2008 2008;235322
9DC Ninth decil;101 Copenhagen;2008 2008;274341
10DC Tenth decil;101 Copenhagen;2008 2008;410603
1DC First decil;147 Frederiksberg;2008 2008;30396
2DC Second decil;147 Frederiksberg;2008 2008;112725
3DC Third decil;147 Frederiksberg;2008 2008;138752
4DC Fourth decil;147 Frederiksberg;2008 2008;163437
5DC Fifth decil;147 Frederiksberg;2008 2008;188176
6DC Sixth decil;147 Frederiksberg;2008 2008;212803
7DC Seventh decil;147 Frederiksberg;2008 2008;240213
8DC Eigth decil;147 Frederiksberg;2008 2008;274400
9DC Ninth decil;147 Frederiksberg;2008 2008;323901
10DC Tenth decil;147 Frederiksberg;2008 2008;512414
1DC First decil;151 Ballerup;2008 2008;80874
2DC Second decil;151 Ballerup;2008 2008;132019
3DC Third decil;151 Ballerup;2008 2008;151574
4DC Fourth decil;151 Ballerup;2008 2008;170963
5DC Fifth decil;151 Ballerup;2008 2008;190492
6DC Sixth decil;151 Ballerup;2008 2008;211354
7DC Seventh decil;151 Ballerup;2008 2008;233175
8DC Eigth decil;151 Ballerup;2008 2008;259450
9DC Ninth decil;151 Ballerup;2008 2008;296682
10DC Tenth decil;151 Ballerup;2008 2008;409593
1DC First decil;153 Brøndby;2008 2008;77681
2DC Second decil;153 Brøndby;2008 2008;125003
3DC Third decil;153 Brøndby;2008 2008;140882
4DC Fourth decil;153 Brøndby;2008 2008;157039
5DC Fifth decil;153 Brøndby;2008 2008;174872
6DC Sixth decil;153 Brøndby;2008 2008;194064
7DC Seventh decil;153 Brøndby;2008 2008;214433
8DC Eigth decil;153 Brøndby;2008 2008;238436
9DC Ninth decil;153 Brøndby;2008 2008;273134
10DC Tenth decil;153 Brøndby;2008 2008;373446
1DC First decil;155 Dragør;2008 2008;35206
2DC Second decil;155 Dragør;2008 2008;151940
3DC Third decil;155 Dragør;2008 2008;187001
4DC Fourth decil;155 Dragør;2008 2008;213716
5DC Fifth decil;155 Dragør;2008 2008;237162
6DC Sixth decil;155 Dragør;2008 2008;259812
7DC Seventh decil;155 Dragør;2008 2008;285839
8DC Eigth decil;155 Dragør;2008 2008;317904
9DC Ninth decil;155 Dragør;2008 2008;364612
10DC Tenth decil;155 Dragør;2008 2008;542333
1DC First decil;157 Gentofte;2008 2008;-65004
2DC Second decil;157 Gentofte;2008 2008;137207
3DC Third decil;157 Gentofte;2008 2008;177813
4DC Fourth decil;157 Gentofte;2008 2008;214694
5DC Fifth decil;157 Gentofte;2008 2008;249472
6DC Sixth decil;157 Gentofte;2008 2008;285679
7DC Seventh decil;157 Gentofte;2008 2008;326322
8DC Eigth decil;157 Gentofte;2008 2008;378607
9DC Ninth decil;157 Gentofte;2008 2008;464731
10DC Tenth decil;157 Gentofte;2008 2008;1053070
1DC First decil;159 Gladsaxe;2008 2008;61758
2DC Second decil;159 Gladsaxe;2008 2008;128760
3DC Third decil;159 Gladsaxe;2008 2008;150765
4DC Fourth decil;159 Gladsaxe;2008 2008;173215
5DC Fifth decil;159 Gladsaxe;2008 2008;196027
6DC Sixth decil;159 Gladsaxe;2008 2008;218286
7DC Seventh decil;159 Gladsaxe;2008 2008;242013
8DC Eigth decil;159 Gladsaxe;2008 2008;269601
9DC Ninth decil;159 Gladsaxe;2008 2008;308144
10DC Tenth decil;159 Gladsaxe;2008 2008;444736
1DC First decil;161 Glostrup;2008 2008;88133
2DC Second decil;161 Glostrup;2008 2008;131807
3DC Third decil;161 Glostrup;2008 2008;152214
4DC Fourth decil;161 Glostrup;2008 2008;172497
5DC Fifth decil;161 Glostrup;2008 2008;193026
6DC Sixth decil;161 Glostrup;2008 2008;213586
7DC Seventh decil;161 Glostrup;2008 2008;235117
8DC Eigth decil;161 Glostrup;2008 2008;260726
9DC Ninth decil;161 Glostrup;2008 2008;294682
10DC Tenth decil;161 Glostrup;2008 2008;393842
1DC First decil;163 Herlev;2008 2008;78153
2DC Second decil;163 Herlev;2008 2008;130458
3DC Third decil;163 Herlev;2008 2008;150702
4DC Fourth decil;163 Herlev;2008 2008;170597
5DC Fifth decil;163 Herlev;2008 2008;190410
6DC Sixth decil;163 Herlev;2008 2008;210584
7DC Seventh decil;163 Herlev;2008 2008;232523
8DC Eigth decil;163 Herlev;2008 2008;258234
9DC Ninth decil;163 Herlev;2008 2008;293316
10DC Tenth decil;163 Herlev;2008 2008;411855
1DC First decil;165 Albertslund;2008 2008;69807
2DC Second decil;165 Albertslund;2008 2008;118228
3DC Third decil;165 Albertslund;2008 2008;138431
4DC Fourth decil;165 Albertslund;2008 2008;156504
5DC Fifth decil;165 Albertslund;2008 2008;174698
6DC Sixth decil;165 Albertslund;2008 2008;193469
7DC Seventh decil;165 Albertslund;2008 2008;213655
8DC Eigth decil;165 Albertslund;2008 2008;237350
9DC Ninth decil;165 Albertslund;2008 2008;271694
10DC Tenth decil;165 Albertslund;2008 2008;365970
1DC First decil;167 Hvidovre;2008 2008;79996
2DC Second decil;167 Hvidovre;2008 2008;128192
3DC Third decil;167 Hvidovre;2008 2008;149357
4DC Fourth decil;167 Hvidovre;2008 2008;169488
5DC Fifth decil;167 Hvidovre;2008 2008;189100
6DC Sixth decil;167 Hvidovre;2008 2008;208319
7DC Seventh decil;167 Hvidovre;2008 2008;228524
8DC Eigth decil;167 Hvidovre;2008 2008;252526
9DC Ninth decil;167 Hvidovre;2008 2008;284729
10DC Tenth decil;167 Hvidovre;2008 2008;379045
1DC First decil;169 Høje-Taastrup;2008 2008;74704
2DC Second decil;169 Høje-Taastrup;2008 2008;128946
3DC Third decil;169 Høje-Taastrup;2008 2008;151103
4DC Fourth decil;169 Høje-Taastrup;2008 2008;171798
5DC Fifth decil;169 Høje-Taastrup;2008 2008;190974
6DC Sixth decil;169 Høje-Taastrup;2008 2008;209562
7DC Seventh decil;169 Høje-Taastrup;2008 2008;229798
8DC Eigth decil;169 Høje-Taastrup;2008 2008;254650
9DC Ninth decil;169 Høje-Taastrup;2008 2008;290277
10DC Tenth decil;169 Høje-Taastrup;2008 2008;404277
1DC First decil;173 Lyngby-Taarbæk;2008 2008;46596
2DC Second decil;173 Lyngby-Taarbæk;2008 2008;133898
3DC Third decil;173 Lyngby-Taarbæk;2008 2008;165046
4DC Fourth decil;173 Lyngby-Taarbæk;2008 2008;195423
5DC Fifth decil;173 Lyngby-Taarbæk;2008 2008;225097
6DC Sixth decil;173 Lyngby-Taarbæk;2008 2008;255506
7DC Seventh decil;173 Lyngby-Taarbæk;2008 2008;287827
8DC Eigth decil;173 Lyngby-Taarbæk;2008 2008;324875
9DC Ninth decil;173 Lyngby-Taarbæk;2008 2008;377298
10DC Tenth decil;173 Lyngby-Taarbæk;2008 2008;636467
1DC First decil;175 Rødovre;2008 2008;83031
2DC Second decil;175 Rødovre;2008 2008;129547
