DECILGEN;KOMMUNEDK;TID;INDHOLD
5DC Fifth decil;575 Vejen;2013 2013;202562
6DC Sixth decil;575 Vejen;2013 2013;221876
7DC Seventh decil;575 Vejen;2013 2013;242954
8DC Eigth decil;575 Vejen;2013 2013;269307
9DC Ninth decil;575 Vejen;2013 2013;307860
10DC Tenth decil;575 Vejen;2013 2013;505788
1DC First decil;580 Aabenraa;2013 2013;74677
2DC Second decil;580 Aabenraa;2013 2013;140338
3DC Third decil;580 Aabenraa;2013 2013;158518
4DC Fourth decil;580 Aabenraa;2013 2013;177196
5DC Fifth decil;580 Aabenraa;2013 2013;197081
6DC Sixth decil;580 Aabenraa;2013 2013;216604
7DC Seventh decil;580 Aabenraa;2013 2013;239035
8DC Eigth decil;580 Aabenraa;2013 2013;267120
9DC Ninth decil;580 Aabenraa;2013 2013;309967
10DC Tenth decil;580 Aabenraa;2013 2013;477829
1DC First decil;607 Fredericia;2013 2013;92226
2DC Second decil;607 Fredericia;2013 2013;141767
3DC Third decil;607 Fredericia;2013 2013;161615
4DC Fourth decil;607 Fredericia;2013 2013;182028
5DC Fifth decil;607 Fredericia;2013 2013;203948
6DC Sixth decil;607 Fredericia;2013 2013;225990
7DC Seventh decil;607 Fredericia;2013 2013;249984
8DC Eigth decil;607 Fredericia;2013 2013;278368
9DC Ninth decil;607 Fredericia;2013 2013;320496
10DC Tenth decil;607 Fredericia;2013 2013;481532
1DC First decil;615 Horsens;2013 2013;83717
2DC Second decil;615 Horsens;2013 2013;143455
3DC Third decil;615 Horsens;2013 2013;166120
4DC Fourth decil;615 Horsens;2013 2013;188210
5DC Fifth decil;615 Horsens;2013 2013;210907
6DC Sixth decil;615 Horsens;2013 2013;233112
7DC Seventh decil;615 Horsens;2013 2013;256675
8DC Eigth decil;615 Horsens;2013 2013;285549
9DC Ninth decil;615 Horsens;2013 2013;325621
10DC Tenth decil;615 Horsens;2013 2013;502488
1DC First decil;621 Kolding;2013 2013;74698
2DC Second decil;621 Kolding;2013 2013;145640
3DC Third decil;621 Kolding;2013 2013;167255
4DC Fourth decil;621 Kolding;2013 2013;189798
5DC Fifth decil;621 Kolding;2013 2013;213040
6DC Sixth decil;621 Kolding;2013 2013;235924
7DC Seventh decil;621 Kolding;2013 2013;260843
8DC Eigth decil;621 Kolding;2013 2013;290587
9DC Ninth decil;621 Kolding;2013 2013;334931
10DC Tenth decil;621 Kolding;2013 2013;519764
1DC First decil;630 Vejle;2013 2013;71329
