OMRÅDE;ALDER;KØN;TID;INDHOLD 
163 Herlev;TOT Age, total;TOT Total;2022M09 2022M09;2.0
165 Albertslund;TOT Age, total;TOT Total;2022M09 2022M09;3.3
167 Hvidovre;TOT Age, total;TOT Total;2022M09 2022M09;2.5
510 Haderslev;TOT Age, total;TOT Total;2011M05 2011M05;5.8
530 Billund;TOT Age, total;TOT Total;2011M05 2011M05;3.4
540 Sønderborg;TOT Age, total;TOT Total;2011M05 2011M05;5.7
550 Tønder;TOT Age, total;TOT Total;2011M05 2011M05;6.1
561 Esbjerg;TOT Age, total;TOT Total;2011M05 2011M05;5.2
563 Fanø;TOT Age, total;TOT Total;2011M05 2011M05;3.6
573 Varde;TOT Age, total;TOT Total;2011M05 2011M05;4.0
575 Vejen;TOT Age, total;TOT Total;2011M05 2011M05;4.6
580 Aabenraa;TOT Age, total;TOT Total;2011M05 2011M05;6.4
607 Fredericia;TOT Age, total;TOT Total;2011M05 2011M05;7.0
615 Horsens;TOT Age, total;TOT Total;2011M05 2011M05;6.2
621 Kolding;TOT Age, total;TOT Total;2011M05 2011M05;5.5
630 Vejle;TOT Age, total;TOT Total;2011M05 2011M05;4.8
657 Herning;TOT Age, total;TOT Total;2011M05 2011M05;5.5
661 Holstebro;TOT Age, total;TOT Total;2011M05 2011M05;5.2
665 Lemvig;TOT Age, total;TOT Total;2011M05 2011M05;4.5
671 Struer;TOT Age, total;TOT Total;2011M05 2011M05;6.3
706 Syddjurs;TOT Age, total;TOT Total;2011M05 2011M05;5.7
707 Norddjurs;TOT Age, total;TOT Total;2011M05 2011M05;6.0
710 Favrskov;TOT Age, total;TOT Total;2011M05 2011M05;4.2
727 Odder;TOT Age, total;TOT Total;2011M05 2011M05;4.7
730 Randers;TOT Age, total;TOT Total;2011M05 2011M05;6.3
000 All Denmark;TOT Age, total;TOT Total;2020M05 2020M05;5.2
169 Høje-Taastrup;TOT Age, total;TOT Total;2022M09 2022M09;3.2
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2022M09 2022M09;1.9
175 Rødovre;TOT Age, total;TOT Total;2022M09 2022M09;3.1
183 Ishøj;TOT Age, total;TOT Total;2022M09 2022M09;4.5
185 Tårnby;TOT Age, total;TOT Total;2022M09 2022M09;2.4
187 Vallensbæk;TOT Age, total;TOT Total;2022M09 2022M09;2.3
190 Furesø;TOT Age, total;TOT Total;2022M09 2022M09;1.8
201 Allerød;TOT Age, total;TOT Total;2022M09 2022M09;1.6
210 Fredensborg;TOT Age, total;TOT Total;2022M09 2022M09;1.7
217 Helsingør;TOT Age, total;TOT Total;2022M09 2022M09;2.2
219 Hillerød;TOT Age, total;TOT Total;2022M09 2022M09;1.8
223 Hørsholm;TOT Age, total;TOT Total;2022M09 2022M09;1.9
230 Rudersdal;TOT Age, total;TOT Total;2022M09 2022M09;1.8
240 Egedal;TOT Age, total;TOT Total;2022M09 2022M09;1.6
250 Frederikssund;TOT Age, total;TOT Total;2022M09 2022M09;1.9
253 Greve;TOT Age, total;TOT Total;2022M09 2022M09;2.1
259 Køge;TOT Age, total;TOT Total;2022M09 2022M09;2.1
260 Halsnæs;TOT Age, total;TOT Total;2022M09 2022M09;1.9
265 Roskilde;TOT Age, total;TOT Total;2022M09 2022M09;2.1
269 Solrød;TOT Age, total;TOT Total;2022M09 2022M09;1.8
270 Gribskov;TOT Age, total;TOT Total;2022M09 2022M09;1.5
306 Odsherred;TOT Age, total;TOT Total;2022M09 2022M09;2.1
316 Holbæk;TOT Age, total;TOT Total;2022M09 2022M09;1.8
740 Silkeborg;TOT Age, total;TOT Total;2011M05 2011M05;5.5
741 Samsø;TOT Age, total;TOT Total;2011M05 2011M05;5.0
746 Skanderborg;TOT Age, total;TOT Total;2011M05 2011M05;3.8
751 Aarhus;TOT Age, total;TOT Total;2011M05 2011M05;5.4
756 Ikast-Brande;TOT Age, total;TOT Total;2011M05 2011M05;6.3
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2011M05 2011M05;5.0
766 Hedensted;TOT Age, total;TOT Total;2011M05 2011M05;4.0
773 Morsø;TOT Age, total;TOT Total;2011M05 2011M05;7.4
779 Skive;TOT Age, total;TOT Total;2011M05 2011M05;6.1
787 Thisted;TOT Age, total;TOT Total;2011M05 2011M05;4.9
791 Viborg;TOT Age, total;TOT Total;2011M05 2011M05;5.1
810 Brønderslev;TOT Age, total;TOT Total;2011M05 2011M05;6.2
813 Frederikshavn;TOT Age, total;TOT Total;2011M05 2011M05;7.3
820 Vesthimmerlands;TOT Age, total;TOT Total;2011M05 2011M05;6.2
825 Læsø;TOT Age, total;TOT Total;2011M05 2011M05;8.5
840 Rebild;TOT Age, total;TOT Total;2011M05 2011M05;5.2
846 Mariagerfjord;TOT Age, total;TOT Total;2011M05 2011M05;5.7
849 Jammerbugt;TOT Age, total;TOT Total;2011M05 2011M05;5.6
851 Aalborg;TOT Age, total;TOT Total;2011M05 2011M05;6.4
860 Hjørring;TOT Age, total;TOT Total;2011M05 2011M05;6.8
101 Copenhagen;TOT Age, total;TOT Total;2020M05 2020M05;6.4
147 Frederiksberg;TOT Age, total;TOT Total;2020M05 2020M05;5.3
151 Ballerup;TOT Age, total;TOT Total;2020M05 2020M05;5.0
741 Samsø;TOT Age, total;TOT Total;2015M05 2015M05;5.3
746 Skanderborg;TOT Age, total;TOT Total;2015M05 2015M05;2.6
751 Aarhus;TOT Age, total;TOT Total;2015M05 2015M05;4.6
756 Ikast-Brande;TOT Age, total;TOT Total;2015M05 2015M05;4.2
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2015M05 2015M05;3.0
766 Hedensted;TOT Age, total;TOT Total;2015M05 2015M05;3.0
101 Copenhagen;TOT Age, total;TOT Total;2014M02 2014M02;6.8
147 Frederiksberg;TOT Age, total;TOT Total;2014M02 2014M02;5.6
151 Ballerup;TOT Age, total;TOT Total;2014M02 2014M02;6.1
153 Brøndby;TOT Age, total;TOT Total;2014M02 2014M02;7.1
155 Dragør;TOT Age, total;TOT Total;2014M02 2014M02;3.4
157 Gentofte;TOT Age, total;TOT Total;2014M02 2014M02;3.6
159 Gladsaxe;TOT Age, total;TOT Total;2014M02 2014M02;5.5
161 Glostrup;TOT Age, total;TOT Total;2014M02 2014M02;6.2
163 Herlev;TOT Age, total;TOT Total;2014M02 2014M02;6.0
165 Albertslund;TOT Age, total;TOT Total;2014M02 2014M02;7.8
167 Hvidovre;TOT Age, total;TOT Total;2014M02 2014M02;5.4
169 Høje-Taastrup;TOT Age, total;TOT Total;2014M02 2014M02;7.5
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2014M02 2014M02;3.8
175 Rødovre;TOT Age, total;TOT Total;2014M02 2014M02;5.4
773 Morsø;TOT Age, total;TOT Total;2015M05 2015M05;3.8
779 Skive;TOT Age, total;TOT Total;2015M05 2015M05;3.2
787 Thisted;TOT Age, total;TOT Total;2015M05 2015M05;3.5
791 Viborg;TOT Age, total;TOT Total;2015M05 2015M05;3.8
810 Brønderslev;TOT Age, total;TOT Total;2015M05 2015M05;4.6
813 Frederikshavn;TOT Age, total;TOT Total;2015M05 2015M05;5.4
820 Vesthimmerlands;TOT Age, total;TOT Total;2015M05 2015M05;4.9
825 Læsø;TOT Age, total;TOT Total;2015M05 2015M05;5.9
840 Rebild;TOT Age, total;TOT Total;2015M05 2015M05;3.3
846 Mariagerfjord;TOT Age, total;TOT Total;2015M05 2015M05;4.4
849 Jammerbugt;TOT Age, total;TOT Total;2015M05 2015M05;4.6
851 Aalborg;TOT Age, total;TOT Total;2015M05 2015M05;5.9
860 Hjørring;TOT Age, total;TOT Total;2015M05 2015M05;4.7
183 Ishøj;TOT Age, total;TOT Total;2014M02 2014M02;10.3
185 Tårnby;TOT Age, total;TOT Total;2014M02 2014M02;5.5
187 Vallensbæk;TOT Age, total;TOT Total;2014M02 2014M02;5.3
190 Furesø;TOT Age, total;TOT Total;2014M02 2014M02;4.3
201 Allerød;TOT Age, total;TOT Total;2014M02 2014M02;2.4
210 Fredensborg;TOT Age, total;TOT Total;2014M02 2014M02;4.4
217 Helsingør;TOT Age, total;TOT Total;2014M02 2014M02;5.5
219 Hillerød;TOT Age, total;TOT Total;2014M02 2014M02;4.2
223 Hørsholm;TOT Age, total;TOT Total;2014M02 2014M02;3.0
230 Rudersdal;TOT Age, total;TOT Total;2014M02 2014M02;3.3
240 Egedal;TOT Age, total;TOT Total;2014M02 2014M02;3.6
250 Frederikssund;TOT Age, total;TOT Total;2014M02 2014M02;5.1
253 Greve;TOT Age, total;TOT Total;2014M02 2014M02;4.5
259 Køge;TOT Age, total;TOT Total;2014M02 2014M02;5.6
260 Halsnæs;TOT Age, total;TOT Total;2014M02 2014M02;6.4
265 Roskilde;TOT Age, total;TOT Total;2014M02 2014M02;4.5
269 Solrød;TOT Age, total;TOT Total;2014M02 2014M02;4.0
270 Gribskov;TOT Age, total;TOT Total;2014M02 2014M02;5.1
306 Odsherred;TOT Age, total;TOT Total;2014M02 2014M02;6.9
316 Holbæk;TOT Age, total;TOT Total;2014M02 2014M02;5.2
320 Faxe;TOT Age, total;TOT Total;2014M02 2014M02;6.3
326 Kalundborg;TOT Age, total;TOT Total;2014M02 2014M02;6.1
329 Ringsted;TOT Age, total;TOT Total;2014M02 2014M02;5.5
000 All Denmark;TOT Age, total;TOT Total;2022M04 2022M04;2.5
000 All Denmark;TOT Age, total;TOT Total;2008M05 2008M05;2.5
330 Slagelse;TOT Age, total;TOT Total;2014M02 2014M02;7.2
336 Stevns;TOT Age, total;TOT Total;2014M02 2014M02;5.9
340 Sorø;TOT Age, total;TOT Total;2014M02 2014M02;5.7
350 Lejre;TOT Age, total;TOT Total;2014M02 2014M02;3.4
360 Lolland;TOT Age, total;TOT Total;2014M02 2014M02;9.5
370 Næstved;TOT Age, total;TOT Total;2014M02 2014M02;6.1
376 Guldborgsund;TOT Age, total;TOT Total;2014M02 2014M02;6.9
390 Vordingborg;TOT Age, total;TOT Total;2014M02 2014M02;6.2
400 Bornholm;TOT Age, total;TOT Total;2014M02 2014M02;8.1
410 Middelfart;TOT Age, total;TOT Total;2014M02 2014M02;4.5
420 Assens;TOT Age, total;TOT Total;2014M02 2014M02;6.4
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2014M02 2014M02;6.3
440 Kerteminde;TOT Age, total;TOT Total;2014M02 2014M02;6.4
240 Egedal;TOT Age, total;TOT Total;2023M09 2023M09;1.5
250 Frederikssund;TOT Age, total;TOT Total;2023M09 2023M09;2.0
253 Greve;TOT Age, total;TOT Total;2023M09 2023M09;2.0
259 Køge;TOT Age, total;TOT Total;2023M09 2023M09;2.0
260 Halsnæs;TOT Age, total;TOT Total;2023M09 2023M09;1.9
265 Roskilde;TOT Age, total;TOT Total;2023M09 2023M09;2.1
269 Solrød;TOT Age, total;TOT Total;2023M09 2023M09;1.7
270 Gribskov;TOT Age, total;TOT Total;2023M09 2023M09;1.7
306 Odsherred;TOT Age, total;TOT Total;2023M09 2023M09;2.0
316 Holbæk;TOT Age, total;TOT Total;2023M09 2023M09;2.0
320 Faxe;TOT Age, total;TOT Total;2023M09 2023M09;2.3
326 Kalundborg;TOT Age, total;TOT Total;2023M09 2023M09;2.1
329 Ringsted;TOT Age, total;TOT Total;2023M09 2023M09;2.5
330 Slagelse;TOT Age, total;TOT Total;2023M09 2023M09;2.9
336 Stevns;TOT Age, total;TOT Total;2023M09 2023M09;2.3
340 Sorø;TOT Age, total;TOT Total;2023M09 2023M09;2.2
350 Lejre;TOT Age, total;TOT Total;2023M09 2023M09;2.0
360 Lolland;TOT Age, total;TOT Total;2023M09 2023M09;3.1
370 Næstved;TOT Age, total;TOT Total;2023M09 2023M09;2.6
376 Guldborgsund;TOT Age, total;TOT Total;2023M09 2023M09;2.7
390 Vordingborg;TOT Age, total;TOT Total;2023M09 2023M09;2.8
400 Bornholm;TOT Age, total;TOT Total;2023M09 2023M09;1.5
410 Middelfart;TOT Age, total;TOT Total;2023M09 2023M09;2.1
420 Assens;TOT Age, total;TOT Total;2023M09 2023M09;2.7
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2023M09 2023M09;2.4
440 Kerteminde;TOT Age, total;TOT Total;2023M09 2023M09;2.3
450 Nyborg;TOT Age, total;TOT Total;2023M09 2023M09;3.1
461 Odense;TOT Age, total;TOT Total;2023M09 2023M09;3.5
479 Svendborg;TOT Age, total;TOT Total;2023M09 2023M09;3.0
480 Nordfyns;TOT Age, total;TOT Total;2023M09 2023M09;2.6
482 Langeland;TOT Age, total;TOT Total;2023M09 2023M09;2.9
492 Ærø;TOT Age, total;TOT Total;2023M09 2023M09;1.4
510 Haderslev;TOT Age, total;TOT Total;2023M09 2023M09;2.6
530 Billund;TOT Age, total;TOT Total;2023M09 2023M09;1.6
540 Sønderborg;TOT Age, total;TOT Total;2023M09 2023M09;2.6
550 Tønder;TOT Age, total;TOT Total;2023M09 2023M09;1.7
561 Esbjerg;TOT Age, total;TOT Total;2023M09 2023M09;2.2
563 Fanø;TOT Age, total;TOT Total;2023M09 2023M09;2.1
573 Varde;TOT Age, total;TOT Total;2023M09 2023M09;1.6
575 Vejen;TOT Age, total;TOT Total;2023M09 2023M09;1.6
580 Aabenraa;TOT Age, total;TOT Total;2023M09 2023M09;2.2
607 Fredericia;TOT Age, total;TOT Total;2023M09 2023M09;2.9
615 Horsens;TOT Age, total;TOT Total;2023M09 2023M09;2.5
621 Kolding;TOT Age, total;TOT Total;2023M09 2023M09;2.6
630 Vejle;TOT Age, total;TOT Total;2023M09 2023M09;2.3
860 Hjørring;TOT Age, total;TOT Total;2008M08 2008M08;2.7
727 Odder;TOT Age, total;TOT Total;2011M07 2011M07;3.7
730 Randers;TOT Age, total;TOT Total;2011M07 2011M07;4.9
740 Silkeborg;TOT Age, total;TOT Total;2011M07 2011M07;4.4
741 Samsø;TOT Age, total;TOT Total;2011M07 2011M07;3.6
746 Skanderborg;TOT Age, total;TOT Total;2011M07 2011M07;3.0
751 Aarhus;TOT Age, total;TOT Total;2011M07 2011M07;4.9
756 Ikast-Brande;TOT Age, total;TOT Total;2011M07 2011M07;4.8
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2011M07 2011M07;3.7
766 Hedensted;TOT Age, total;TOT Total;2011M07 2011M07;2.9
773 Morsø;TOT Age, total;TOT Total;2011M07 2011M07;5.5
779 Skive;TOT Age, total;TOT Total;2011M07 2011M07;4.5
787 Thisted;TOT Age, total;TOT Total;2011M07 2011M07;3.7
791 Viborg;TOT Age, total;TOT Total;2011M07 2011M07;4.0
810 Brønderslev;TOT Age, total;TOT Total;2011M07 2011M07;4.8
813 Frederikshavn;TOT Age, total;TOT Total;2011M07 2011M07;5.8
820 Vesthimmerlands;TOT Age, total;TOT Total;2011M07 2011M07;4.9
825 Læsø;TOT Age, total;TOT Total;2011M07 2011M07;4.6
840 Rebild;TOT Age, total;TOT Total;2011M07 2011M07;3.8
846 Mariagerfjord;TOT Age, total;TOT Total;2011M07 2011M07;4.3
849 Jammerbugt;TOT Age, total;TOT Total;2011M07 2011M07;4.4
851 Aalborg;TOT Age, total;TOT Total;2011M07 2011M07;5.6
860 Hjørring;TOT Age, total;TOT Total;2011M07 2011M07;5.6
840 Rebild;TOT Age, total;TOT Total;2013M05 2013M05;3.9
846 Mariagerfjord;TOT Age, total;TOT Total;2013M05 2013M05;5.5
849 Jammerbugt;TOT Age, total;TOT Total;2013M05 2013M05;5.3
851 Aalborg;TOT Age, total;TOT Total;2013M05 2013M05;5.9
860 Hjørring;TOT Age, total;TOT Total;2013M05 2013M05;5.8
101 Copenhagen;TOT Age, total;TOT Total;2013M09 2013M09;7.1
147 Frederiksberg;TOT Age, total;TOT Total;2013M09 2013M09;5.6
151 Ballerup;TOT Age, total;TOT Total;2013M09 2013M09;5.9
153 Brøndby;TOT Age, total;TOT Total;2013M09 2013M09;7.5
155 Dragør;TOT Age, total;TOT Total;2013M09 2013M09;3.4
157 Gentofte;TOT Age, total;TOT Total;2013M09 2013M09;3.7
159 Gladsaxe;TOT Age, total;TOT Total;2013M09 2013M09;5.6
161 Glostrup;TOT Age, total;TOT Total;2013M09 2013M09;6.0
163 Herlev;TOT Age, total;TOT Total;2013M09 2013M09;6.1
165 Albertslund;TOT Age, total;TOT Total;2013M09 2013M09;8.2
167 Hvidovre;TOT Age, total;TOT Total;2013M09 2013M09;5.0
169 Høje-Taastrup;TOT Age, total;TOT Total;2013M09 2013M09;7.4
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2013M09 2013M09;3.8
846 Mariagerfjord;TOT Age, total;TOT Total;2011M08 2011M08;4.8
849 Jammerbugt;TOT Age, total;TOT Total;2011M08 2011M08;4.8
851 Aalborg;TOT Age, total;TOT Total;2011M08 2011M08;6.0
860 Hjørring;TOT Age, total;TOT Total;2011M08 2011M08;5.9
175 Rødovre;TOT Age, total;TOT Total;2017M03 2017M03;4.4
183 Ishøj;TOT Age, total;TOT Total;2017M03 2017M03;7.1
185 Tårnby;TOT Age, total;TOT Total;2017M03 2017M03;3.6
187 Vallensbæk;TOT Age, total;TOT Total;2017M03 2017M03;3.5
190 Furesø;TOT Age, total;TOT Total;2017M03 2017M03;3.2
201 Allerød;TOT Age, total;TOT Total;2017M03 2017M03;2.6
210 Fredensborg;TOT Age, total;TOT Total;2017M03 2017M03;3.6
217 Helsingør;TOT Age, total;TOT Total;2017M03 2017M03;4.5
219 Hillerød;TOT Age, total;TOT Total;2017M03 2017M03;3.3
223 Hørsholm;TOT Age, total;TOT Total;2017M03 2017M03;2.8
230 Rudersdal;TOT Age, total;TOT Total;2017M03 2017M03;3.2
240 Egedal;TOT Age, total;TOT Total;2017M03 2017M03;3.1
250 Frederikssund;TOT Age, total;TOT Total;2017M03 2017M03;3.9
253 Greve;TOT Age, total;TOT Total;2017M03 2017M03;3.6
259 Køge;TOT Age, total;TOT Total;2017M03 2017M03;4.0
260 Halsnæs;TOT Age, total;TOT Total;2017M03 2017M03;4.7
265 Roskilde;TOT Age, total;TOT Total;2017M03 2017M03;3.7
269 Solrød;TOT Age, total;TOT Total;2017M03 2017M03;2.5
270 Gribskov;TOT Age, total;TOT Total;2017M03 2017M03;3.7
306 Odsherred;TOT Age, total;TOT Total;2017M03 2017M03;6.0
316 Holbæk;TOT Age, total;TOT Total;2017M03 2017M03;3.9
320 Faxe;TOT Age, total;TOT Total;2017M03 2017M03;4.8
326 Kalundborg;TOT Age, total;TOT Total;2017M03 2017M03;5.0
329 Ringsted;TOT Age, total;TOT Total;2017M03 2017M03;4.3
330 Slagelse;TOT Age, total;TOT Total;2017M03 2017M03;5.0
336 Stevns;TOT Age, total;TOT Total;2017M03 2017M03;3.5
340 Sorø;TOT Age, total;TOT Total;2017M03 2017M03;3.8
350 Lejre;TOT Age, total;TOT Total;2017M03 2017M03;3.4
360 Lolland;TOT Age, total;TOT Total;2017M03 2017M03;6.7
370 Næstved;TOT Age, total;TOT Total;2017M03 2017M03;5.3
376 Guldborgsund;TOT Age, total;TOT Total;2017M03 2017M03;5.4
390 Vordingborg;TOT Age, total;TOT Total;2017M03 2017M03;5.2
400 Bornholm;TOT Age, total;TOT Total;2017M03 2017M03;5.3
410 Middelfart;TOT Age, total;TOT Total;2017M03 2017M03;3.4
420 Assens;TOT Age, total;TOT Total;2017M03 2017M03;5.0
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2017M03 2017M03;4.9
440 Kerteminde;TOT Age, total;TOT Total;2017M03 2017M03;5.1
450 Nyborg;TOT Age, total;TOT Total;2017M03 2017M03;4.9
461 Odense;TOT Age, total;TOT Total;2017M03 2017M03;6.2
479 Svendborg;TOT Age, total;TOT Total;2017M03 2017M03;5.1
480 Nordfyns;TOT Age, total;TOT Total;2017M03 2017M03;5.4
482 Langeland;TOT Age, total;TOT Total;2017M03 2017M03;6.3
492 Ærø;TOT Age, total;TOT Total;2017M03 2017M03;5.2
510 Haderslev;TOT Age, total;TOT Total;2017M03 2017M03;4.2
530 Billund;TOT Age, total;TOT Total;2017M03 2017M03;3.2
540 Sønderborg;TOT Age, total;TOT Total;2017M03 2017M03;4.5
550 Tønder;TOT Age, total;TOT Total;2017M03 2017M03;4.3
561 Esbjerg;TOT Age, total;TOT Total;2017M03 2017M03;4.1
563 Fanø;TOT Age, total;TOT Total;2017M03 2017M03;5.4
573 Varde;TOT Age, total;TOT Total;2017M03 2017M03;3.2
575 Vejen;TOT Age, total;TOT Total;2017M03 2017M03;3.5
580 Aabenraa;TOT Age, total;TOT Total;2017M03 2017M03;4.3
607 Fredericia;TOT Age, total;TOT Total;2017M03 2017M03;4.8
615 Horsens;TOT Age, total;TOT Total;2017M03 2017M03;4.0
621 Kolding;TOT Age, total;TOT Total;2017M03 2017M03;4.0
630 Vejle;TOT Age, total;TOT Total;2017M03 2017M03;3.6
657 Herning;TOT Age, total;TOT Total;2017M03 2017M03;3.7
661 Holstebro;TOT Age, total;TOT Total;2017M03 2017M03;3.5
665 Lemvig;TOT Age, total;TOT Total;2017M03 2017M03;4.3
671 Struer;TOT Age, total;TOT Total;2017M03 2017M03;4.2
706 Syddjurs;TOT Age, total;TOT Total;2017M03 2017M03;4.0
707 Norddjurs;TOT Age, total;TOT Total;2017M03 2017M03;4.7
710 Favrskov;TOT Age, total;TOT Total;2017M03 2017M03;3.0
727 Odder;TOT Age, total;TOT Total;2017M03 2017M03;3.8
730 Randers;TOT Age, total;TOT Total;2017M03 2017M03;4.4
740 Silkeborg;TOT Age, total;TOT Total;2017M03 2017M03;3.8
741 Samsø;TOT Age, total;TOT Total;2017M03 2017M03;7.7
746 Skanderborg;TOT Age, total;TOT Total;2017M03 2017M03;2.7
751 Aarhus;TOT Age, total;TOT Total;2017M03 2017M03;4.4
756 Ikast-Brande;TOT Age, total;TOT Total;2017M03 2017M03;4.3
760 Ringkøbing-Skjern;TOT Age, total;TOT Total;2017M03 2017M03;3.0
766 Hedensted;TOT Age, total;TOT Total;2017M03 2017M03;2.6
773 Morsø;TOT Age, total;TOT Total;2017M03 2017M03;4.2
779 Skive;TOT Age, total;TOT Total;2017M03 2017M03;3.5
787 Thisted;TOT Age, total;TOT Total;2017M03 2017M03;3.8
791 Viborg;TOT Age, total;TOT Total;2017M03 2017M03;3.5
810 Brønderslev;TOT Age, total;TOT Total;2017M03 2017M03;4.9
813 Frederikshavn;TOT Age, total;TOT Total;2017M03 2017M03;6.0
820 Vesthimmerlands;TOT Age, total;TOT Total;2017M03 2017M03;5.1
825 Læsø;TOT Age, total;TOT Total;2017M03 2017M03;6.8
840 Rebild;TOT Age, total;TOT Total;2017M03 2017M03;3.6
846 Mariagerfjord;TOT Age, total;TOT Total;2017M03 2017M03;4.5
849 Jammerbugt;TOT Age, total;TOT Total;2017M03 2017M03;4.2
851 Aalborg;TOT Age, total;TOT Total;2017M03 2017M03;5.6
860 Hjørring;TOT Age, total;TOT Total;2017M03 2017M03;5.6
153 Brøndby;TOT Age, total;TOT Total;2020M05 2020M05;8.1
155 Dragør;TOT Age, total;TOT Total;2020M05 2020M05;3.8
157 Gentofte;TOT Age, total;TOT Total;2020M05 2020M05;4.1
159 Gladsaxe;TOT Age, total;TOT Total;2020M05 2020M05;4.6
161 Glostrup;TOT Age, total;TOT Total;2020M05 2020M05;5.5
163 Herlev;TOT Age, total;TOT Total;2020M05 2020M05;4.3
165 Albertslund;TOT Age, total;TOT Total;2020M05 2020M05;6.9
167 Hvidovre;TOT Age, total;TOT Total;2020M05 2020M05;5.1
169 Høje-Taastrup;TOT Age, total;TOT Total;2020M05 2020M05;6.2
173 Lyngby-Taarbæk;TOT Age, total;TOT Total;2020M05 2020M05;3.8
320 Faxe;TOT Age, total;TOT Total;2022M09 2022M09;2.2
326 Kalundborg;TOT Age, total;TOT Total;2022M09 2022M09;2.4
329 Ringsted;TOT Age, total;TOT Total;2022M09 2022M09;2.4
330 Slagelse;TOT Age, total;TOT Total;2022M09 2022M09;2.7
336 Stevns;TOT Age, total;TOT Total;2022M09 2022M09;2.3
340 Sorø;TOT Age, total;TOT Total;2022M09 2022M09;2.3
350 Lejre;TOT Age, total;TOT Total;2022M09 2022M09;1.9
360 Lolland;TOT Age, total;TOT Total;2022M09 2022M09;2.9
370 Næstved;TOT Age, total;TOT Total;2022M09 2022M09;2.4
376 Guldborgsund;TOT Age, total;TOT Total;2022M09 2022M09;2.5
390 Vordingborg;TOT Age, total;TOT Total;2022M09 2022M09;2.6
400 Bornholm;TOT Age, total;TOT Total;2022M09 2022M09;1.6
410 Middelfart;TOT Age, total;TOT Total;2022M09 2022M09;1.7
420 Assens;TOT Age, total;TOT Total;2022M09 2022M09;2.1
430 Faaborg-Midtfyn;TOT Age, total;TOT Total;2022M09 2022M09;2.0
440 Kerteminde;TOT Age, total;TOT Total;2022M09 2022M09;2.2
450 Nyborg;TOT Age, total;TOT Total;2022M09 2022M09;2.2
461 Odense;TOT Age, total;TOT Total;2022M09 2022M09;3.2
479 Svendborg;TOT Age, total;TOT Total;2022M09 2022M09;2.8
480 Nordfyns;TOT Age, total;TOT Total;2022M09 2022M09;2.6
482 Langeland;TOT Age, total;TOT Total;2022M09 2022M09;2.7
492 Ærø;TOT Age, total;TOT Total;2022M09 2022M09;1.6
510 Haderslev;TOT Age, total;TOT Total;2022M09 2022M09;2.1
000 All Denmark;TOT Age, total;TOT Total;2011M03 2011M03;6.5
175 Rødovre;TOT Age, total;TOT Total;2020M05 2020M05;6.1
183 Ishøj;TOT Age, total;TOT Total;2020M05 2020M05;8.1
185 Tårnby;TOT Age, total;TOT Total;2020M05 2020M05;4.7
187 Vallensbæk;TOT Age, total;TOT Total;2020M05 2020M05;4.8
190 Furesø;TOT Age, total;TOT Total;2020M05 2020M05;3.8
201 Allerød;TOT Age, total;TOT Total;2020M05 2020M05;3.2
210 Fredensborg;TOT Age, total;TOT Total;2020M05 2020M05;4.0
217 Helsingør;TOT Age, total;TOT Total;2020M05 2020M05;5.2
219 Hillerød;TOT Age, total;TOT Total;2020M05 2020M05;3.6
223 Hørsholm;TOT Age, total;TOT Total;2020M05 2020M05;3.9
230 Rudersdal;TOT Age, total;TOT Total;2020M05 2020M05;3.5
240 Egedal;TOT Age, total;TOT Total;2020M05 2020M05;3.5
250 Frederikssund;TOT Age, total;TOT Total;2020M05 2020M05;4.1
253 Greve;TOT Age, total;TOT Total;2020M05 2020M05;4.3
259 Køge;TOT Age, total;TOT Total;2020M05 2020M05;4.2
260 Halsnæs;TOT Age, total;TOT Total;2020M05 2020M05;4.7
265 Roskilde;TOT Age, total;TOT Total;2020M05 2020M05;4.1
269 Solrød;TOT Age, total;TOT Total;2020M05 2020M05;3.8
270 Gribskov;TOT Age, total;TOT Total;2020M05 2020M05;4.0
306 Odsherred;TOT Age, total;TOT Total;2020M05 2020M05;5.4
316 Holbæk;TOT Age, total;TOT Total;2020M05 2020M05;4.2
320 Faxe;TOT Age, total;TOT Total;2020M05 2020M05;5.1
326 Kalundborg;TOT Age, total;TOT Total;2020M05 2020M05;5.0
530 Billund;TOT Age, total;TOT Total;2022M09 2022M09;1.4
540 Sønderborg;TOT Age, total;TOT Total;2022M09 2022M09;2.0
550 Tønder;TOT Age, total;TOT Total;2022M09 2022M09;1.5
561 Esbjerg;TOT Age, total;TOT Total;2022M09 2022M09;2.1
563 Fanø;TOT Age, total;TOT Total;2022M09 2022M09;2.2
573 Varde;TOT Age, total;TOT Total;2022M09 2022M09;1.5
575 Vejen;TOT Age, total;TOT Total;2022M09 2022M09;1.4
580 Aabenraa;TOT Age, total;TOT Total;2022M09 2022M09;2.0
607 Fredericia;TOT Age, total;TOT Total;2022M09 2022M09;2.3
615 Horsens;TOT Age, total;TOT Total;2022M09 2022M09;2.1
