KOMMUNEDK;INDKN;TID;INDHOLD 
741 Samsø;60 60 per cent of median income;2017 2017;11.2
751 Aarhus;60 60 per cent of median income;2017 2017;20.9
760 Ringkøbing-Skjern;60 60 per cent of median income;2017 2017;9.3
773 Morsø;60 60 per cent of median income;2017 2017;12.7
787 Thisted;60 60 per cent of median income;2017 2017;11.6
810 Brønderslev;60 60 per cent of median income;2017 2017;11.4
820 Vesthimmerlands;60 60 per cent of median income;2017 2017;12.0
840 Rebild;60 60 per cent of median income;2017 2017;8.3
849 Jammerbugt;60 60 per cent of median income;2017 2017;11.1
860 Hjørring;60 60 per cent of median income;2017 2017;12.1
101 Copenhagen;60 60 per cent of median income;2018 2018;24.2
151 Ballerup;60 60 per cent of median income;2018 2018;11.2
155 Dragør;60 60 per cent of median income;2018 2018;6.4
159 Gladsaxe;60 60 per cent of median income;2018 2018;13.9
163 Herlev;60 60 per cent of median income;2018 2018;12.0
167 Hvidovre;60 60 per cent of median income;2018 2018;13.7
173 Lyngby-Taarbæk;60 60 per cent of median income;2018 2018;11.8
183 Ishøj;60 60 per cent of median income;2018 2018;17.7
187 Vallensbæk;60 60 per cent of median income;2018 2018;10.2
201 Allerød;60 60 per cent of median income;2018 2018;5.5
217 Helsingør;60 60 per cent of median income;2018 2018;11.3
223 Hørsholm;60 60 per cent of median income;2018 2018;7.7
240 Egedal;60 60 per cent of median income;2018 2018;6.2
253 Greve;60 60 per cent of median income;2018 2018;8.8
260 Halsnæs;60 60 per cent of median income;2018 2018;10.3
269 Solrød;60 60 per cent of median income;2018 2018;7.0
306 Odsherred;60 60 per cent of median income;2018 2018;11.9
320 Faxe;60 60 per cent of median income;2018 2018;11.6
329 Ringsted;60 60 per cent of median income;2018 2018;11.7
336 Stevns;60 60 per cent of median income;2018 2018;9.8
350 Lejre;60 60 per cent of median income;2018 2018;7.1
370 Næstved;60 60 per cent of median income;2018 2018;12.6
390 Vordingborg;60 60 per cent of median income;2018 2018;13.5
410 Middelfart;60 60 per cent of median income;2018 2018;8.8
430 Faaborg-Midtfyn;60 60 per cent of median income;2018 2018;10.8
450 Nyborg;60 60 per cent of median income;2018 2018;11.3
479 Svendborg;60 60 per cent of median income;2018 2018;14.2
482 Langeland;60 60 per cent of median income;2018 2018;15.4
510 Haderslev;60 60 per cent of median income;2018 2018;13.3
540 Sønderborg;60 60 per cent of median income;2018 2018;12.4
561 Esbjerg;60 60 per cent of median income;2018 2018;12.9
573 Varde;60 60 per cent of median income;2018 2018;10.3
580 Aabenraa;60 60 per cent of median income;2018 2018;12.8
615 Horsens;60 60 per cent of median income;2018 2018;12.2
630 Vejle;60 60 per cent of median income;2018 2018;10.6
661 Holstebro;60 60 per cent of median income;2018 2018;11.3
671 Struer;60 60 per cent of median income;2018 2018;11.1
707 Norddjurs;60 60 per cent of median income;2018 2018;13.2
727 Odder;60 60 per cent of median income;2018 2018;8.7
740 Silkeborg;60 60 per cent of median income;2018 2018;9.5
746 Skanderborg;60 60 per cent of median income;2018 2018;6.8
756 Ikast-Brande;60 60 per cent of median income;2018 2018;10.2
766 Hedensted;60 60 per cent of median income;2018 2018;8.0
779 Skive;60 60 per cent of median income;2018 2018;10.9
791 Viborg;60 60 per cent of median income;2018 2018;10.7
813 Frederikshavn;60 60 per cent of median income;2018 2018;11.2
825 Læsø;60 60 per cent of median income;2018 2018;10.7
846 Mariagerfjord;60 60 per cent of median income;2018 2018;11.2
851 Aalborg;60 60 per cent of median income;2018 2018;17.9
766 Hedensted;50 50 per cent of median income;2020 2020;4.2
779 Skive;50 50 per cent of median income;2020 2020;5.8
791 Viborg;50 50 per cent of median income;2020 2020;6.5
813 Frederikshavn;50 50 per cent of median income;2020 2020;6.5
825 Læsø;50 50 per cent of median income;2020 2020;4.6
846 Mariagerfjord;50 50 per cent of median income;2020 2020;6.3
851 Aalborg;50 50 per cent of median income;2020 2020;12.5
000 All Denmark;50 50 per cent of median income;2021 2021;8.4
147 Frederiksberg;50 50 per cent of median income;2021 2021;10.1
153 Brøndby;50 50 per cent of median income;2021 2021;10.2
157 Gentofte;50 50 per cent of median income;2021 2021;6.7
161 Glostrup;50 50 per cent of median income;2021 2021;7.3
165 Albertslund;50 50 per cent of median income;2021 2021;10.5
169 Høje-Taastrup;50 50 per cent of median income;2021 2021;8.7
175 Rødovre;50 50 per cent of median income;2021 2021;7.8
185 Tårnby;50 50 per cent of median income;2021 2021;5.9
190 Furesø;50 50 per cent of median income;2021 2021;4.5
210 Fredensborg;50 50 per cent of median income;2021 2021;5.6
219 Hillerød;50 50 per cent of median income;2021 2021;6.1
230 Rudersdal;50 50 per cent of median income;2021 2021;5.3
250 Frederikssund;50 50 per cent of median income;2021 2021;5.1
259 Køge;50 50 per cent of median income;2021 2021;6.3
265 Roskilde;50 50 per cent of median income;2021 2021;6.6
270 Gribskov;50 50 per cent of median income;2021 2021;5.4
316 Holbæk;50 50 per cent of median income;2021 2021;6.5
326 Kalundborg;50 50 per cent of median income;2021 2021;6.7
330 Slagelse;50 50 per cent of median income;2021 2021;8.4
340 Sorø;50 50 per cent of median income;2021 2021;5.4
360 Lolland;50 50 per cent of median income;2021 2021;8.7
376 Guldborgsund;50 50 per cent of median income;2021 2021;8.2
400 Bornholm;50 50 per cent of median income;2021 2021;6.4
420 Assens;50 50 per cent of median income;2021 2021;5.8
440 Kerteminde;50 50 per cent of median income;2021 2021;5.7
461 Odense;50 50 per cent of median income;2021 2021;13.4
480 Nordfyns;50 50 per cent of median income;2021 2021;5.9
492 Ærø;50 50 per cent of median income;2021 2021;9.5
530 Billund;50 50 per cent of median income;2021 2021;5.1
550 Tønder;50 50 per cent of median income;2021 2021;7.2
563 Fanø;50 50 per cent of median income;2021 2021;4.6
575 Vejen;50 50 per cent of median income;2021 2021;5.2
607 Fredericia;50 50 per cent of median income;2021 2021;7.6
621 Kolding;50 50 per cent of median income;2021 2021;6.9
657 Herning;50 50 per cent of median income;2021 2021;6.2
665 Lemvig;50 50 per cent of median income;2021 2021;5.1
706 Syddjurs;50 50 per cent of median income;2021 2021;5.3
710 Favrskov;50 50 per cent of median income;2021 2021;4.0
730 Randers;50 50 per cent of median income;2021 2021;7.7
741 Samsø;50 50 per cent of median income;2021 2021;6.2
751 Aarhus;50 50 per cent of median income;2021 2021;14.4
760 Ringkøbing-Skjern;50 50 per cent of median income;2021 2021;5.1
773 Morsø;50 50 per cent of median income;2021 2021;6.7
787 Thisted;50 50 per cent of median income;2021 2021;6.3
810 Brønderslev;50 50 per cent of median income;2021 2021;5.8
820 Vesthimmerlands;50 50 per cent of median income;2021 2021;5.7
840 Rebild;50 50 per cent of median income;2021 2021;3.7
849 Jammerbugt;50 50 per cent of median income;2021 2021;5.6
860 Hjørring;50 50 per cent of median income;2021 2021;6.1
101 Copenhagen;50 50 per cent of median income;2022 2022;15.0
151 Ballerup;50 50 per cent of median income;2022 2022;6.5
155 Dragør;50 50 per cent of median income;2022 2022;3.9
159 Gladsaxe;50 50 per cent of median income;2022 2022;8.2
163 Herlev;50 50 per cent of median income;2022 2022;6.8
167 Hvidovre;50 50 per cent of median income;2022 2022;7.5
173 Lyngby-Taarbæk;50 50 per cent of median income;2022 2022;9.0
183 Ishøj;50 50 per cent of median income;2022 2022;9.4
187 Vallensbæk;50 50 per cent of median income;2022 2022;6.2
201 Allerød;50 50 per cent of median income;2022 2022;3.5
217 Helsingør;50 50 per cent of median income;2022 2022;6.0
223 Hørsholm;50 50 per cent of median income;2022 2022;5.3
240 Egedal;50 50 per cent of median income;2022 2022;3.8
253 Greve;50 50 per cent of median income;2022 2022;5.8
260 Halsnæs;50 50 per cent of median income;2022 2022;5.4
269 Solrød;50 50 per cent of median income;2022 2022;3.8
306 Odsherred;50 50 per cent of median income;2022 2022;6.2
320 Faxe;50 50 per cent of median income;2022 2022;6.0
329 Ringsted;50 50 per cent of median income;2022 2022;6.0
336 Stevns;50 50 per cent of median income;2022 2022;4.9
101 Copenhagen;60 60 per cent of median income;2019 2019;23.8
151 Ballerup;60 60 per cent of median income;2019 2019;11.5
155 Dragør;60 60 per cent of median income;2019 2019;6.5
159 Gladsaxe;60 60 per cent of median income;2019 2019;13.5
163 Herlev;60 60 per cent of median income;2019 2019;12.1
167 Hvidovre;60 60 per cent of median income;2019 2019;13.2
173 Lyngby-Taarbæk;60 60 per cent of median income;2019 2019;11.6
183 Ishøj;60 60 per cent of median income;2019 2019;17.4
187 Vallensbæk;60 60 per cent of median income;2019 2019;10.6
201 Allerød;60 60 per cent of median income;2019 2019;5.3
217 Helsingør;60 60 per cent of median income;2019 2019;11.1
223 Hørsholm;60 60 per cent of median income;2019 2019;7.1
240 Egedal;60 60 per cent of median income;2019 2019;6.1
253 Greve;60 60 per cent of median income;2019 2019;9.1
260 Halsnæs;60 60 per cent of median income;2019 2019;10.1
269 Solrød;60 60 per cent of median income;2019 2019;6.7
306 Odsherred;60 60 per cent of median income;2019 2019;11.8
320 Faxe;60 60 per cent of median income;2019 2019;11.0
329 Ringsted;60 60 per cent of median income;2019 2019;11.9
336 Stevns;60 60 per cent of median income;2019 2019;9.3
350 Lejre;60 60 per cent of median income;2019 2019;7.0
370 Næstved;60 60 per cent of median income;2019 2019;12.5
390 Vordingborg;60 60 per cent of median income;2019 2019;13.5
410 Middelfart;60 60 per cent of median income;2019 2019;8.5
430 Faaborg-Midtfyn;60 60 per cent of median income;2019 2019;10.5
450 Nyborg;60 60 per cent of median income;2019 2019;11.2
479 Svendborg;60 60 per cent of median income;2019 2019;13.8
482 Langeland;60 60 per cent of median income;2019 2019;14.9
510 Haderslev;60 60 per cent of median income;2019 2019;13.3
540 Sønderborg;60 60 per cent of median income;2019 2019;12.3
561 Esbjerg;60 60 per cent of median income;2019 2019;12.6
573 Varde;60 60 per cent of median income;2019 2019;10.0
580 Aabenraa;60 60 per cent of median income;2019 2019;12.7
615 Horsens;60 60 per cent of median income;2019 2019;11.7
630 Vejle;60 60 per cent of median income;2019 2019;10.5
661 Holstebro;60 60 per cent of median income;2019 2019;11.1
671 Struer;60 60 per cent of median income;2019 2019;10.9
707 Norddjurs;60 60 per cent of median income;2019 2019;13.0
727 Odder;60 60 per cent of median income;2019 2019;8.3
740 Silkeborg;60 60 per cent of median income;2019 2019;9.5
746 Skanderborg;60 60 per cent of median income;2019 2019;6.6
756 Ikast-Brande;60 60 per cent of median income;2019 2019;9.9
766 Hedensted;60 60 per cent of median income;2019 2019;8.0
779 Skive;60 60 per cent of median income;2019 2019;10.6
791 Viborg;60 60 per cent of median income;2019 2019;10.7
813 Frederikshavn;60 60 per cent of median income;2019 2019;11.1
825 Læsø;60 60 per cent of median income;2019 2019;10.9
846 Mariagerfjord;60 60 per cent of median income;2019 2019;11.4
851 Aalborg;60 60 per cent of median income;2019 2019;18.0
000 All Denmark;60 60 per cent of median income;2020 2020;14.2
147 Frederiksberg;60 60 per cent of median income;2020 2020;16.1
153 Brøndby;60 60 per cent of median income;2020 2020;18.3
157 Gentofte;60 60 per cent of median income;2020 2020;10.5
161 Glostrup;60 60 per cent of median income;2020 2020;13.4
165 Albertslund;60 60 per cent of median income;2020 2020;18.9
169 Høje-Taastrup;60 60 per cent of median income;2020 2020;15.8
175 Rødovre;60 60 per cent of median income;2020 2020;14.0
185 Tårnby;60 60 per cent of median income;2020 2020;10.7
190 Furesø;60 60 per cent of median income;2020 2020;8.3
210 Fredensborg;60 60 per cent of median income;2020 2020;9.8
219 Hillerød;60 60 per cent of median income;2020 2020;9.7
230 Rudersdal;60 60 per cent of median income;2020 2020;8.4
250 Frederikssund;60 60 per cent of median income;2020 2020;9.4
259 Køge;60 60 per cent of median income;2020 2020;11.1
265 Roskilde;60 60 per cent of median income;2020 2020;11.1
270 Gribskov;60 60 per cent of median income;2020 2020;9.2
316 Holbæk;60 60 per cent of median income;2020 2020;11.9
326 Kalundborg;60 60 per cent of median income;2020 2020;12.6
330 Slagelse;60 60 per cent of median income;2020 2020;15.4
340 Sorø;60 60 per cent of median income;2020 2020;11.0
360 Lolland;60 60 per cent of median income;2020 2020;18.1
376 Guldborgsund;60 60 per cent of median income;2020 2020;15.7
400 Bornholm;60 60 per cent of median income;2020 2020;12.8
420 Assens;60 60 per cent of median income;2020 2020;11.4
440 Kerteminde;60 60 per cent of median income;2020 2020;10.9
461 Odense;60 60 per cent of median income;2020 2020;21.2
480 Nordfyns;60 60 per cent of median income;2020 2020;11.2
492 Ærø;60 60 per cent of median income;2020 2020;16.5
530 Billund;60 60 per cent of median income;2020 2020;10.1
550 Tønder;60 60 per cent of median income;2020 2020;14.1
563 Fanø;60 60 per cent of median income;2020 2020;8.1
575 Vejen;60 60 per cent of median income;2020 2020;11.1
607 Fredericia;60 60 per cent of median income;2020 2020;13.5
621 Kolding;60 60 per cent of median income;2020 2020;12.3
657 Herning;60 60 per cent of median income;2020 2020;11.3
665 Lemvig;60 60 per cent of median income;2020 2020;10.2
706 Syddjurs;60 60 per cent of median income;2020 2020;9.4
710 Favrskov;60 60 per cent of median income;2020 2020;7.1
730 Randers;60 60 per cent of median income;2020 2020;13.5
741 Samsø;60 60 per cent of median income;2020 2020;12.7
751 Aarhus;60 60 per cent of median income;2020 2020;21.7
101 Copenhagen;50 50 per cent of median income;2014 2014;15.6
151 Ballerup;50 50 per cent of median income;2014 2014;6.0
155 Dragør;50 50 per cent of median income;2014 2014;3.5
159 Gladsaxe;50 50 per cent of median income;2014 2014;7.8
163 Herlev;50 50 per cent of median income;2014 2014;6.0
167 Hvidovre;50 50 per cent of median income;2014 2014;7.0
173 Lyngby-Taarbæk;50 50 per cent of median income;2014 2014;7.2
183 Ishøj;50 50 per cent of median income;2014 2014;8.5
187 Vallensbæk;50 50 per cent of median income;2014 2014;5.0
201 Allerød;50 50 per cent of median income;2014 2014;2.7
217 Helsingør;50 50 per cent of median income;2014 2014;5.6
223 Hørsholm;50 50 per cent of median income;2014 2014;4.2
240 Egedal;50 50 per cent of median income;2014 2014;2.7
253 Greve;50 50 per cent of median income;2014 2014;4.7
260 Halsnæs;50 50 per cent of median income;2014 2014;5.0
269 Solrød;50 50 per cent of median income;2014 2014;3.4
306 Odsherred;50 50 per cent of median income;2014 2014;5.5
320 Faxe;50 50 per cent of median income;2014 2014;5.4
329 Ringsted;50 50 per cent of median income;2014 2014;5.7
336 Stevns;50 50 per cent of median income;2014 2014;4.8
350 Lejre;50 50 per cent of median income;2014 2014;3.6
370 Næstved;50 50 per cent of median income;2014 2014;6.1
390 Vordingborg;50 50 per cent of median income;2014 2014;6.3
410 Middelfart;50 50 per cent of median income;2014 2014;3.9
430 Faaborg-Midtfyn;50 50 per cent of median income;2014 2014;4.4
450 Nyborg;50 50 per cent of median income;2014 2014;5.1
479 Svendborg;50 50 per cent of median income;2014 2014;6.8
482 Langeland;50 50 per cent of median income;2014 2014;6.5
510 Haderslev;50 50 per cent of median income;2014 2014;6.8
540 Sønderborg;50 50 per cent of median income;2014 2014;6.0
561 Esbjerg;50 50 per cent of median income;2014 2014;6.9
573 Varde;50 50 per cent of median income;2014 2014;4.7
580 Aabenraa;50 50 per cent of median income;2014 2014;6.3
615 Horsens;50 50 per cent of median income;2014 2014;6.4
630 Vejle;50 50 per cent of median income;2014 2014;5.4
661 Holstebro;50 50 per cent of median income;2014 2014;5.6
671 Struer;50 50 per cent of median income;2014 2014;5.6
707 Norddjurs;50 50 per cent of median income;2014 2014;7.2
727 Odder;50 50 per cent of median income;2014 2014;3.9
740 Silkeborg;50 50 per cent of median income;2014 2014;4.9
746 Skanderborg;50 50 per cent of median income;2014 2014;3.0
756 Ikast-Brande;50 50 per cent of median income;2014 2014;5.1
766 Hedensted;50 50 per cent of median income;2014 2014;3.6
779 Skive;50 50 per cent of median income;2014 2014;5.5
791 Viborg;50 50 per cent of median income;2014 2014;5.7
813 Frederikshavn;50 50 per cent of median income;2014 2014;5.0
825 Læsø;50 50 per cent of median income;2014 2014;4.7
846 Mariagerfjord;50 50 per cent of median income;2014 2014;5.2
851 Aalborg;50 50 per cent of median income;2014 2014;10.8
000 All Denmark;50 50 per cent of median income;2015 2015;7.7
147 Frederiksberg;50 50 per cent of median income;2015 2015;10.7
153 Brøndby;50 50 per cent of median income;2015 2015;8.5
157 Gentofte;50 50 per cent of median income;2015 2015;6.8
161 Glostrup;50 50 per cent of median income;2015 2015;6.3
165 Albertslund;50 50 per cent of median income;2015 2015;10.2
169 Høje-Taastrup;50 50 per cent of median income;2015 2015;7.7
175 Rødovre;50 50 per cent of median income;2015 2015;6.9
185 Tårnby;50 50 per cent of median income;2015 2015;5.3
190 Furesø;50 50 per cent of median income;2015 2015;4.5
210 Fredensborg;50 50 per cent of median income;2015 2015;5.1
219 Hillerød;50 50 per cent of median income;2015 2015;5.0
230 Rudersdal;50 50 per cent of median income;2015 2015;5.1
250 Frederikssund;50 50 per cent of median income;2015 2015;4.4
259 Køge;50 50 per cent of median income;2015 2015;5.3
265 Roskilde;50 50 per cent of median income;2015 2015;6.9
270 Gribskov;50 50 per cent of median income;2015 2015;5.0
316 Holbæk;50 50 per cent of median income;2015 2015;5.7
326 Kalundborg;50 50 per cent of median income;2015 2015;5.8
330 Slagelse;50 50 per cent of median income;2015 2015;7.7
340 Sorø;50 50 per cent of median income;2015 2015;5.0
360 Lolland;50 50 per cent of median income;2015 2015;7.5
376 Guldborgsund;50 50 per cent of median income;2015 2015;7.5
400 Bornholm;50 50 per cent of median income;2015 2015;5.5
420 Assens;50 50 per cent of median income;2015 2015;5.1
440 Kerteminde;50 50 per cent of median income;2015 2015;4.5
461 Odense;50 50 per cent of median income;2015 2015;12.1
480 Nordfyns;50 50 per cent of median income;2015 2015;4.7
492 Ærø;50 50 per cent of median income;2015 2015;8.6
530 Billund;50 50 per cent of median income;2015 2015;4.5
550 Tønder;50 50 per cent of median income;2015 2015;6.6
563 Fanø;50 50 per cent of median income;2015 2015;3.6
575 Vejen;50 50 per cent of median income;2015 2015;5.2
607 Fredericia;50 50 per cent of median income;2015 2015;6.6
621 Kolding;50 50 per cent of median income;2015 2015;6.6
657 Herning;50 50 per cent of median income;2015 2015;6.1
665 Lemvig;50 50 per cent of median income;2015 2015;5.2
706 Syddjurs;50 50 per cent of median income;2015 2015;4.5
710 Favrskov;50 50 per cent of median income;2015 2015;3.5
730 Randers;50 50 per cent of median income;2015 2015;6.9
741 Samsø;50 50 per cent of median income;2015 2015;5.2
751 Aarhus;50 50 per cent of median income;2015 2015;12.8
760 Ringkøbing-Skjern;50 50 per cent of median income;2015 2015;5.1
101 Copenhagen;60 60 per cent of median income;2024 2024;20.6
151 Ballerup;60 60 per cent of median income;2024 2024;11.1
155 Dragør;60 60 per cent of median income;2024 2024;5.7
159 Gladsaxe;60 60 per cent of median income;2024 2024;12.6
163 Herlev;60 60 per cent of median income;2024 2024;11.3
167 Hvidovre;60 60 per cent of median income;2024 2024;12.2
173 Lyngby-Taarbæk;60 60 per cent of median income;2024 2024;11.8
183 Ishøj;60 60 per cent of median income;2024 2024;16.6
187 Vallensbæk;60 60 per cent of median income;2024 2024;11.4
201 Allerød;60 60 per cent of median income;2024 2024;5.4
217 Helsingør;60 60 per cent of median income;2024 2024;10.2
223 Hørsholm;60 60 per cent of median income;2024 2024;7.3
240 Egedal;60 60 per cent of median income;2024 2024;6.1
253 Greve;60 60 per cent of median income;2024 2024;8.9
260 Halsnæs;60 60 per cent of median income;2024 2024;10.3
269 Solrød;60 60 per cent of median income;2024 2024;6.0
306 Odsherred;60 60 per cent of median income;2024 2024;13.2
320 Faxe;60 60 per cent of median income;2024 2024;11.2
329 Ringsted;60 60 per cent of median income;2024 2024;10.8
336 Stevns;60 60 per cent of median income;2024 2024;9.5
350 Lejre;60 60 per cent of median income;2024 2024;7.4
370 Næstved;60 60 per cent of median income;2024 2024;12.0
390 Vordingborg;60 60 per cent of median income;2024 2024;13.7
410 Middelfart;60 60 per cent of median income;2024 2024;8.8
430 Faaborg-Midtfyn;60 60 per cent of median income;2024 2024;10.7
450 Nyborg;60 60 per cent of median income;2024 2024;11.8
479 Svendborg;60 60 per cent of median income;2024 2024;13.4
482 Langeland;60 60 per cent of median income;2024 2024;17.1
510 Haderslev;60 60 per cent of median income;2024 2024;13.4
540 Sønderborg;60 60 per cent of median income;2024 2024;14.1
561 Esbjerg;60 60 per cent of median income;2024 2024;11.7
573 Varde;60 60 per cent of median income;2024 2024;10.1
580 Aabenraa;60 60 per cent of median income;2024 2024;13.5
615 Horsens;60 60 per cent of median income;2024 2024;11.1
630 Vejle;60 60 per cent of median income;2024 2024;10.1
661 Holstebro;60 60 per cent of median income;2024 2024;11.2
671 Struer;60 60 per cent of median income;2024 2024;11.7
707 Norddjurs;60 60 per cent of median income;2024 2024;13.4
727 Odder;60 60 per cent of median income;2024 2024;8.5
740 Silkeborg;60 60 per cent of median income;2024 2024;9.1
746 Skanderborg;60 60 per cent of median income;2024 2024;6.6
756 Ikast-Brande;60 60 per cent of median income;2024 2024;11.2
766 Hedensted;60 60 per cent of median income;2024 2024;8.3
779 Skive;60 60 per cent of median income;2024 2024;11.4
791 Viborg;60 60 per cent of median income;2024 2024;11.2
813 Frederikshavn;60 60 per cent of median income;2024 2024;11.8
825 Læsø;60 60 per cent of median income;2024 2024;14.3
846 Mariagerfjord;60 60 per cent of median income;2024 2024;11.6
851 Aalborg;60 60 per cent of median income;2024 2024;16.3
000 All Denmark;60 60 per cent of median income;2023 2023;13.3
147 Frederiksberg;60 60 per cent of median income;2023 2023;15.1
153 Brøndby;60 60 per cent of median income;2023 2023;17.4
157 Gentofte;60 60 per cent of median income;2023 2023;9.9
161 Glostrup;60 60 per cent of median income;2023 2023;12.6
165 Albertslund;60 60 per cent of median income;2023 2023;16.1
169 Høje-Taastrup;60 60 per cent of median income;2023 2023;14.7
175 Rødovre;60 60 per cent of median income;2023 2023;13.0
185 Tårnby;60 60 per cent of median income;2023 2023;9.7
190 Furesø;60 60 per cent of median income;2023 2023;7.2
210 Fredensborg;60 60 per cent of median income;2023 2023;9.2
219 Hillerød;60 60 per cent of median income;2023 2023;9.1
230 Rudersdal;60 60 per cent of median income;2023 2023;7.6
250 Frederikssund;60 60 per cent of median income;2023 2023;8.8
259 Køge;60 60 per cent of median income;2023 2023;10.6
265 Roskilde;60 60 per cent of median income;2023 2023;9.8
270 Gribskov;60 60 per cent of median income;2023 2023;9.5
316 Holbæk;60 60 per cent of median income;2023 2023;10.7
326 Kalundborg;60 60 per cent of median income;2023 2023;11.4
330 Slagelse;60 60 per cent of median income;2023 2023;14.0
340 Sorø;60 60 per cent of median income;2023 2023;10.2
360 Lolland;60 60 per cent of median income;2023 2023;16.3
376 Guldborgsund;60 60 per cent of median income;2023 2023;14.7
400 Bornholm;60 60 per cent of median income;2023 2023;12.6
420 Assens;60 60 per cent of median income;2023 2023;10.7
440 Kerteminde;60 60 per cent of median income;2023 2023;10.4
461 Odense;60 60 per cent of median income;2023 2023;19.0
480 Nordfyns;60 60 per cent of median income;2023 2023;11.1
492 Ærø;60 60 per cent of median income;2023 2023;17.4
530 Billund;60 60 per cent of median income;2023 2023;9.1
550 Tønder;60 60 per cent of median income;2023 2023;14.5
563 Fanø;60 60 per cent of median income;2023 2023;8.2
575 Vejen;60 60 per cent of median income;2023 2023;10.2
607 Fredericia;60 60 per cent of median income;2023 2023;12.8
621 Kolding;60 60 per cent of median income;2023 2023;11.8
657 Herning;60 60 per cent of median income;2023 2023;10.5
665 Lemvig;60 60 per cent of median income;2023 2023;10.2
706 Syddjurs;60 60 per cent of median income;2023 2023;9.8
710 Favrskov;60 60 per cent of median income;2023 2023;7.5
730 Randers;60 60 per cent of median income;2023 2023;12.9
741 Samsø;60 60 per cent of median income;2023 2023;14.6
751 Aarhus;60 60 per cent of median income;2023 2023;20.7
760 Ringkøbing-Skjern;60 60 per cent of median income;2023 2023;9.9
773 Morsø;60 60 per cent of median income;2023 2023;12.8
787 Thisted;60 60 per cent of median income;2023 2023;12.4
810 Brønderslev;60 60 per cent of median income;2023 2023;11.2
820 Vesthimmerlands;60 60 per cent of median income;2023 2023;12.2
840 Rebild;60 60 per cent of median income;2023 2023;7.7
849 Jammerbugt;60 60 per cent of median income;2023 2023;11.3
860 Hjørring;60 60 per cent of median income;2023 2023;12.0
360 Lolland;50 50 per cent of median income;2022 2022;8.4
376 Guldborgsund;50 50 per cent of median income;2022 2022;8.2
400 Bornholm;50 50 per cent of median income;2022 2022;6.4
420 Assens;50 50 per cent of median income;2022 2022;5.3
440 Kerteminde;50 50 per cent of median income;2022 2022;5.4
461 Odense;50 50 per cent of median income;2022 2022;12.8
480 Nordfyns;50 50 per cent of median income;2022 2022;5.8
492 Ærø;50 50 per cent of median income;2022 2022;10.3
530 Billund;50 50 per cent of median income;2022 2022;4.7
550 Tønder;50 50 per cent of median income;2022 2022;7.1
563 Fanø;50 50 per cent of median income;2022 2022;3.8
575 Vejen;50 50 per cent of median income;2022 2022;4.9
607 Fredericia;50 50 per cent of median income;2022 2022;7.2
621 Kolding;50 50 per cent of median income;2022 2022;6.9
657 Herning;50 50 per cent of median income;2022 2022;5.8
665 Lemvig;50 50 per cent of median income;2022 2022;5.2
706 Syddjurs;50 50 per cent of median income;2022 2022;5.5
710 Favrskov;50 50 per cent of median income;2022 2022;3.9
730 Randers;50 50 per cent of median income;2022 2022;7.4
741 Samsø;50 50 per cent of median income;2022 2022;7.1
751 Aarhus;50 50 per cent of median income;2022 2022;14.5
760 Ringkøbing-Skjern;50 50 per cent of median income;2022 2022;5.0
773 Morsø;50 50 per cent of median income;2022 2022;5.8
787 Thisted;50 50 per cent of median income;2022 2022;6.1
810 Brønderslev;50 50 per cent of median income;2022 2022;5.7
820 Vesthimmerlands;50 50 per cent of median income;2022 2022;5.6
840 Rebild;50 50 per cent of median income;2022 2022;3.6
849 Jammerbugt;50 50 per cent of median income;2022 2022;5.6
860 Hjørring;50 50 per cent of median income;2022 2022;5.9
760 Ringkøbing-Skjern;60 60 per cent of median income;2011 2011;8.8
773 Morsø;60 60 per cent of median income;2011 2011;11.5
787 Thisted;60 60 per cent of median income;2011 2011;10.9
810 Brønderslev;60 60 per cent of median income;2011 2011;9.7
820 Vesthimmerlands;60 60 per cent of median income;2011 2011;10.9
840 Rebild;60 60 per cent of median income;2011 2011;7.9
849 Jammerbugt;60 60 per cent of median income;2011 2011;9.5
860 Hjørring;60 60 per cent of median income;2011 2011;10.6
101 Copenhagen;60 60 per cent of median income;2010 2010;23.5
151 Ballerup;60 60 per cent of median income;2010 2010;9.5
155 Dragør;60 60 per cent of median income;2010 2010;6.0
159 Gladsaxe;60 60 per cent of median income;2010 2010;11.6
163 Herlev;60 60 per cent of median income;2010 2010;10.2
167 Hvidovre;60 60 per cent of median income;2010 2010;11.7
173 Lyngby-Taarbæk;60 60 per cent of median income;2010 2010;10.1
183 Ishøj;60 60 per cent of median income;2010 2010;14.9
187 Vallensbæk;60 60 per cent of median income;2010 2010;7.2
201 Allerød;60 60 per cent of median income;2010 2010;4.9
217 Helsingør;60 60 per cent of median income;2010 2010;10.4
223 Hørsholm;60 60 per cent of median income;2010 2010;6.9
240 Egedal;60 60 per cent of median income;2010 2010;4.5
253 Greve;60 60 per cent of median income;2010 2010;7.2
260 Halsnæs;60 60 per cent of median income;2010 2010;8.9
269 Solrød;60 60 per cent of median income;2010 2010;6.0
306 Odsherred;60 60 per cent of median income;2010 2010;10.2
320 Faxe;60 60 per cent of median income;2010 2010;9.2
329 Ringsted;60 60 per cent of median income;2010 2010;9.9
336 Stevns;60 60 per cent of median income;2010 2010;7.6
350 Lejre;60 60 per cent of median income;2010 2010;5.9
370 Næstved;60 60 per cent of median income;2010 2010;9.7
390 Vordingborg;60 60 per cent of median income;2010 2010;11.4
