KOMMUNEDK;INDKN;TID;INDHOLD
153 Brøndby;60 60 per cent of median income;2008 2008;10.4
157 Gentofte;60 60 per cent of median income;2008 2008;10.1
161 Glostrup;60 60 per cent of median income;2008 2008;8.3
165 Albertslund;60 60 per cent of median income;2008 2008;13.5
169 Høje-Taastrup;60 60 per cent of median income;2008 2008;10.0
175 Rødovre;60 60 per cent of median income;2008 2008;9.0
185 Tårnby;60 60 per cent of median income;2008 2008;7.7
190 Furesø;60 60 per cent of median income;2008 2008;6.7
210 Fredensborg;60 60 per cent of median income;2008 2008;8.0
219 Hillerød;60 60 per cent of median income;2008 2008;7.5
230 Rudersdal;60 60 per cent of median income;2008 2008;8.2
250 Frederikssund;60 60 per cent of median income;2008 2008;7.1
259 Køge;60 60 per cent of median income;2008 2008;8.3
265 Roskilde;60 60 per cent of median income;2008 2008;8.9
270 Gribskov;60 60 per cent of median income;2008 2008;7.8
316 Holbæk;60 60 per cent of median income;2008 2008;10.2
326 Kalundborg;60 60 per cent of median income;2008 2008;10.3
330 Slagelse;60 60 per cent of median income;2008 2008;11.4
340 Sorø;60 60 per cent of median income;2008 2008;9.3
360 Lolland;60 60 per cent of median income;2008 2008;14.7
376 Guldborgsund;60 60 per cent of median income;2008 2008;12.2
400 Bornholm;60 60 per cent of median income;2008 2008;11.5
420 Assens;60 60 per cent of median income;2008 2008;9.4
440 Kerteminde;60 60 per cent of median income;2008 2008;7.3
461 Odense;60 60 per cent of median income;2008 2008;14.8
480 Nordfyns;60 60 per cent of median income;2008 2008;10.3
492 Ærø;60 60 per cent of median income;2008 2008;11.3
530 Billund;60 60 per cent of median income;2008 2008;8.7
550 Tønder;60 60 per cent of median income;2008 2008;12.4
563 Fanø;60 60 per cent of median income;2008 2008;6.8
575 Vejen;60 60 per cent of median income;2008 2008;9.8
607 Fredericia;60 60 per cent of median income;2008 2008;8.2
621 Kolding;60 60 per cent of median income;2008 2008;9.4
657 Herning;60 60 per cent of median income;2008 2008;9.5
665 Lemvig;60 60 per cent of median income;2008 2008;10.8
706 Syddjurs;60 60 per cent of median income;2008 2008;8.8
710 Favrskov;60 60 per cent of median income;2008 2008;6.8
730 Randers;60 60 per cent of median income;2008 2008;10.1
741 Samsø;60 60 per cent of median income;2008 2008;13.0
751 Aarhus;60 60 per cent of median income;2008 2008;17.0
760 Ringkøbing-Skjern;60 60 per cent of median income;2008 2008;9.7
773 Morsø;60 60 per cent of median income;2008 2008;12.7
787 Thisted;60 60 per cent of median income;2008 2008;11.9
810 Brønderslev;60 60 per cent of median income;2008 2008;11.4
820 Vesthimmerlands;60 60 per cent of median income;2008 2008;12.2
840 Rebild;60 60 per cent of median income;2008 2008;9.5
849 Jammerbugt;60 60 per cent of median income;2008 2008;10.7
860 Hjørring;60 60 per cent of median income;2008 2008;11.3
101 Copenhagen;60 60 per cent of median income;2007 2007;21.5
151 Ballerup;60 60 per cent of median income;2007 2007;7.8
155 Dragør;60 60 per cent of median income;2007 2007;6.2
159 Gladsaxe;60 60 per cent of median income;2007 2007;9.7
163 Herlev;60 60 per cent of median income;2007 2007;9.1
167 Hvidovre;60 60 per cent of median income;2007 2007;9.7
173 Lyngby-Taarbæk;60 60 per cent of median income;2007 2007;9.3
183 Ishøj;60 60 per cent of median income;2007 2007;11.5
187 Vallensbæk;60 60 per cent of median income;2007 2007;5.0
201 Allerød;60 60 per cent of median income;2007 2007;4.3
217 Helsingør;60 60 per cent of median income;2007 2007;8.8
223 Hørsholm;60 60 per cent of median income;2007 2007;5.3
240 Egedal;60 60 per cent of median income;2007 2007;3.8
253 Greve;60 60 per cent of median income;2007 2007;5.4
260 Halsnæs;60 60 per cent of median income;2007 2007;7.2
269 Solrød;60 60 per cent of median income;2007 2007;5.2
306 Odsherred;60 60 per cent of median income;2007 2007;9.2
320 Faxe;60 60 per cent of median income;2007 2007;8.1
329 Ringsted;60 60 per cent of median income;2007 2007;8.0
336 Stevns;60 60 per cent of median income;2007 2007;7.0
350 Lejre;60 60 per cent of median income;2007 2007;5.6
370 Næstved;60 60 per cent of median income;2007 2007;9.0
390 Vordingborg;60 60 per cent of median income;2007 2007;10.1
