OMRÅDE;KØN;TID;INDHOLD
157 Gentofte;TOT Total;2021:2025 2021:2025;84.1
159 Gladsaxe;TOT Total;2021:2025 2021:2025;81.6
161 Glostrup;TOT Total;2021:2025 2021:2025;81.1
163 Herlev;TOT Total;2021:2025 2021:2025;80.5
165 Albertslund;TOT Total;2021:2025 2021:2025;81.5
167 Hvidovre;TOT Total;2021:2025 2021:2025;81.2
169 Høje-Taastrup;TOT Total;2021:2025 2021:2025;81.7
173 Lyngby-Taarbæk;TOT Total;2021:2025 2021:2025;84.1
175 Rødovre;TOT Total;2021:2025 2021:2025;81.3
183 Ishøj;TOT Total;2021:2025 2021:2025;79.7
185 Tårnby;TOT Total;2021:2025 2021:2025;81.2
187 Vallensbæk;TOT Total;2021:2025 2021:2025;83.1
190 Furesø;TOT Total;2021:2025 2021:2025;83.2
201 Allerød;TOT Total;2021:2025 2021:2025;83.9
210 Fredensborg;TOT Total;2021:2025 2021:2025;82.1
217 Helsingør;TOT Total;2021:2025 2021:2025;81.4
219 Hillerød;TOT Total;2021:2025 2021:2025;82.5
223 Hørsholm;TOT Total;2021:2025 2021:2025;83.6
230 Rudersdal;TOT Total;2021:2025 2021:2025;83.9
240 Egedal;TOT Total;2021:2025 2021:2025;83.0
250 Frederikssund;TOT Total;2021:2025 2021:2025;81.4
253 Greve;TOT Total;2021:2025 2021:2025;82.2
259 Køge;TOT Total;2021:2025 2021:2025;81.1
260 Halsnæs;TOT Total;2021:2025 2021:2025;80.6
265 Roskilde;TOT Total;2021:2025 2021:2025;82.2
269 Solrød;TOT Total;2021:2025 2021:2025;83.3
270 Gribskov;TOT Total;2021:2025 2021:2025;81.8
306 Odsherred;TOT Total;2021:2025 2021:2025;80.4
316 Holbæk;TOT Total;2021:2025 2021:2025;81.2
320 Faxe;TOT Total;2021:2025 2021:2025;81.1
326 Kalundborg;TOT Total;2021:2025 2021:2025;80.3
329 Ringsted;TOT Total;2021:2025 2021:2025;81.4
330 Slagelse;TOT Total;2021:2025 2021:2025;80.5
336 Stevns;TOT Total;2021:2025 2021:2025;81.2
340 Sorø;TOT Total;2021:2025 2021:2025;80.8
350 Lejre;TOT Total;2021:2025 2021:2025;83.1
360 Lolland;TOT Total;2021:2025 2021:2025;78.6
370 Næstved;TOT Total;2021:2025 2021:2025;80.7
376 Guldborgsund;TOT Total;2021:2025 2021:2025;79.4
390 Vordingborg;TOT Total;2021:2025 2021:2025;79.9
400 Bornholm;TOT Total;2021:2025 2021:2025;80.9
410 Middelfart;TOT Total;2021:2025 2021:2025;81.8
420 Assens;TOT Total;2021:2025 2021:2025;80.8
430 Faaborg-Midtfyn;TOT Total;2021:2025 2021:2025;81.6
440 Kerteminde;TOT Total;2021:2025 2021:2025;82.6
450 Nyborg;TOT Total;2021:2025 2021:2025;81.3
461 Odense;TOT Total;2021:2025 2021:2025;81.5
479 Svendborg;TOT Total;2021:2025 2021:2025;81.3
480 Nordfyns;TOT Total;2021:2025 2021:2025;81.2
482 Langeland;TOT Total;2021:2025 2021:2025;81.0
492 Ærø;TOT Total;2021:2025 2021:2025;..
510 Haderslev;TOT Total;2021:2025 2021:2025;81.6
530 Billund;TOT Total;2021:2025 2021:2025;82.2
540 Sønderborg;TOT Total;2021:2025 2021:2025;81.7
550 Tønder;TOT Total;2021:2025 2021:2025;80.6
561 Esbjerg;TOT Total;2021:2025 2021:2025;80.8
563 Fanø;TOT Total;2021:2025 2021:2025;..
