OMRÅDE;KØN;TID;INDHOLD
510 Haderslev;TOT Total;2019:2023 2019:2023;81.8
530 Billund;TOT Total;2019:2023 2019:2023;82.1
540 Sønderborg;TOT Total;2019:2023 2019:2023;81.8
550 Tønder;TOT Total;2019:2023 2019:2023;81.0
561 Esbjerg;TOT Total;2019:2023 2019:2023;80.9
563 Fanø;TOT Total;2019:2023 2019:2023;..
573 Varde;TOT Total;2019:2023 2019:2023;82.1
575 Vejen;TOT Total;2019:2023 2019:2023;81.8
580 Aabenraa;TOT Total;2019:2023 2019:2023;81.5
607 Fredericia;TOT Total;2019:2023 2019:2023;81.0
615 Horsens;TOT Total;2019:2023 2019:2023;81.4
621 Kolding;TOT Total;2019:2023 2019:2023;81.8
630 Vejle;TOT Total;2019:2023 2019:2023;81.8
657 Herning;TOT Total;2019:2023 2019:2023;81.7
661 Holstebro;TOT Total;2019:2023 2019:2023;82.0
665 Lemvig;TOT Total;2019:2023 2019:2023;81.8
671 Struer;TOT Total;2019:2023 2019:2023;81.4
706 Syddjurs;TOT Total;2019:2023 2019:2023;82.2
707 Norddjurs;TOT Total;2019:2023 2019:2023;81.0
710 Favrskov;TOT Total;2019:2023 2019:2023;82.1
727 Odder;TOT Total;2019:2023 2019:2023;83.4
730 Randers;TOT Total;2019:2023 2019:2023;80.6
740 Silkeborg;TOT Total;2019:2023 2019:2023;82.2
741 Samsø;TOT Total;2019:2023 2019:2023;..
746 Skanderborg;TOT Total;2019:2023 2019:2023;83.0
751 Aarhus;TOT Total;2019:2023 2019:2023;82.1
756 Ikast-Brande;TOT Total;2019:2023 2019:2023;81.5
760 Ringkøbing-Skjern;TOT Total;2019:2023 2019:2023;81.8
766 Hedensted;TOT Total;2019:2023 2019:2023;81.9
773 Morsø;TOT Total;2019:2023 2019:2023;80.7
779 Skive;TOT Total;2019:2023 2019:2023;80.9
787 Thisted;TOT Total;2019:2023 2019:2023;80.5
791 Viborg;TOT Total;2019:2023 2019:2023;82.0
810 Brønderslev;TOT Total;2019:2023 2019:2023;81.1
813 Frederikshavn;TOT Total;2019:2023 2019:2023;80.7
820 Vesthimmerlands;TOT Total;2019:2023 2019:2023;80.9
825 Læsø;TOT Total;2019:2023 2019:2023;..
840 Rebild;TOT Total;2019:2023 2019:2023;81.9
846 Mariagerfjord;TOT Total;2019:2023 2019:2023;81.7
849 Jammerbugt;TOT Total;2019:2023 2019:2023;81.1
851 Aalborg;TOT Total;2019:2023 2019:2023;81.1
860 Hjørring;TOT Total;2019:2023 2019:2023;81.3
000 All Denmark;TOT Total;2018:2022 2018:2022;81.3
101 Copenhagen;TOT Total;2018:2022 2018:2022;80.2
147 Frederiksberg;TOT Total;2018:2022 2018:2022;82.0
151 Ballerup;TOT Total;2018:2022 2018:2022;80.4
153 Brøndby;TOT Total;2018:2022 2018:2022;79.8
155 Dragør;TOT Total;2018:2022 2018:2022;82.3
157 Gentofte;TOT Total;2018:2022 2018:2022;83.8
159 Gladsaxe;TOT Total;2018:2022 2018:2022;81.2
161 Glostrup;TOT Total;2018:2022 2018:2022;80.9
163 Herlev;TOT Total;2018:2022 2018:2022;80.0
165 Albertslund;TOT Total;2018:2022 2018:2022;81.3
167 Hvidovre;TOT Total;2018:2022 2018:2022;80.6
169 Høje-Taastrup;TOT Total;2018:2022 2018:2022;80.9
173 Lyngby-Taarbæk;TOT Total;2018:2022 2018:2022;83.1
175 Rødovre;TOT Total;2018:2022 2018:2022;81.0
183 Ishøj;TOT Total;2018:2022 2018:2022;79.8
185 Tårnby;TOT Total;2018:2022 2018:2022;80.6
187 Vallensbæk;TOT Total;2018:2022 2018:2022;81.7
190 Furesø;TOT Total;2018:2022 2018:2022;83.1
201 Allerød;TOT Total;2018:2022 2018:2022;83.2
210 Fredensborg;TOT Total;2018:2022 2018:2022;81.8
217 Helsingør;TOT Total;2018:2022 2018:2022;81.7
219 Hillerød;TOT Total;2018:2022 2018:2022;82.2
223 Hørsholm;TOT Total;2018:2022 2018:2022;83.2
230 Rudersdal;TOT Total;2018:2022 2018:2022;83.6
240 Egedal;TOT Total;2018:2022 2018:2022;82.4
250 Frederikssund;TOT Total;2018:2022 2018:2022;80.8
253 Greve;TOT Total;2018:2022 2018:2022;81.6
259 Køge;TOT Total;2018:2022 2018:2022;81.2
260 Halsnæs;TOT Total;2018:2022 2018:2022;80.5
265 Roskilde;TOT Total;2018:2022 2018:2022;81.7
269 Solrød;TOT Total;2018:2022 2018:2022;82.7
270 Gribskov;TOT Total;2018:2022 2018:2022;81.7
306 Odsherred;TOT Total;2018:2022 2018:2022;80.4
316 Holbæk;TOT Total;2018:2022 2018:2022;80.5
320 Faxe;TOT Total;2018:2022 2018:2022;81.0
326 Kalundborg;TOT Total;2018:2022 2018:2022;80.6
329 Ringsted;TOT Total;2018:2022 2018:2022;80.8
330 Slagelse;TOT Total;2018:2022 2018:2022;80.0
336 Stevns;TOT Total;2018:2022 2018:2022;81.0
340 Sorø;TOT Total;2018:2022 2018:2022;80.2
350 Lejre;TOT Total;2018:2022 2018:2022;82.4
360 Lolland;TOT Total;2018:2022 2018:2022;78.6
370 Næstved;TOT Total;2018:2022 2018:2022;80.5
376 Guldborgsund;TOT Total;2018:2022 2018:2022;78.9
390 Vordingborg;TOT Total;2018:2022 2018:2022;79.4
400 Bornholm;TOT Total;2018:2022 2018:2022;80.0
410 Middelfart;TOT Total;2018:2022 2018:2022;81.1
420 Assens;TOT Total;2018:2022 2018:2022;81.2
430 Faaborg-Midtfyn;TOT Total;2018:2022 2018:2022;81.5
440 Kerteminde;TOT Total;2018:2022 2018:2022;81.7
450 Nyborg;TOT Total;2018:2022 2018:2022;80.7
461 Odense;TOT Total;2018:2022 2018:2022;81.2
479 Svendborg;TOT Total;2018:2022 2018:2022;81.1
480 Nordfyns;TOT Total;2018:2022 2018:2022;80.8
482 Langeland;TOT Total;2018:2022 2018:2022;80.6
492 Ærø;TOT Total;2018:2022 2018:2022;..
510 Haderslev;TOT Total;2018:2022 2018:2022;81.5
530 Billund;TOT Total;2018:2022 2018:2022;81.8
540 Sønderborg;TOT Total;2018:2022 2018:2022;81.9
550 Tønder;TOT Total;2018:2022 2018:2022;81.1
561 Esbjerg;TOT Total;2018:2022 2018:2022;80.7
563 Fanø;TOT Total;2018:2022 2018:2022;..
573 Varde;TOT Total;2018:2022 2018:2022;81.7
575 Vejen;TOT Total;2018:2022 2018:2022;81.8
580 Aabenraa;TOT Total;2018:2022 2018:2022;81.4
607 Fredericia;TOT Total;2018:2022 2018:2022;81.0
615 Horsens;TOT Total;2018:2022 2018:2022;81.2
621 Kolding;TOT Total;2018:2022 2018:2022;81.9
630 Vejle;TOT Total;2018:2022 2018:2022;81.7
657 Herning;TOT Total;2018:2022 2018:2022;81.7
661 Holstebro;TOT Total;2018:2022 2018:2022;82.2
665 Lemvig;TOT Total;2018:2022 2018:2022;81.1
671 Struer;TOT Total;2018:2022 2018:2022;81.3
706 Syddjurs;TOT Total;2018:2022 2018:2022;82.1
707 Norddjurs;TOT Total;2018:2022 2018:2022;80.7
710 Favrskov;TOT Total;2018:2022 2018:2022;81.9
727 Odder;TOT Total;2018:2022 2018:2022;83.2
730 Randers;TOT Total;2018:2022 2018:2022;80.6
740 Silkeborg;TOT Total;2018:2022 2018:2022;82.1
741 Samsø;TOT Total;2018:2022 2018:2022;..
746 Skanderborg;TOT Total;2018:2022 2018:2022;82.6
751 Aarhus;TOT Total;2018:2022 2018:2022;82.0
756 Ikast-Brande;TOT Total;2018:2022 2018:2022;81.3
760 Ringkøbing-Skjern;TOT Total;2018:2022 2018:2022;81.8
766 Hedensted;TOT Total;2018:2022 2018:2022;81.9
773 Morsø;TOT Total;2018:2022 2018:2022;80.2
779 Skive;TOT Total;2018:2022 2018:2022;81.1
787 Thisted;TOT Total;2018:2022 2018:2022;80.5
791 Viborg;TOT Total;2018:2022 2018:2022;81.8
810 Brønderslev;TOT Total;2018:2022 2018:2022;81.1
813 Frederikshavn;TOT Total;2018:2022 2018:2022;80.8
820 Vesthimmerlands;TOT Total;2018:2022 2018:2022;80.8
825 Læsø;TOT Total;2018:2022 2018:2022;..
840 Rebild;TOT Total;2018:2022 2018:2022;81.7
846 Mariagerfjord;TOT Total;2018:2022 2018:2022;81.6
849 Jammerbugt;TOT Total;2018:2022 2018:2022;81.1
851 Aalborg;TOT Total;2018:2022 2018:2022;81.1
860 Hjørring;TOT Total;2018:2022 2018:2022;81.2
000 All Denmark;TOT Total;2008:2012 2008:2012;79.1
101 Copenhagen;TOT Total;2008:2012 2008:2012;76.9
147 Frederiksberg;TOT Total;2008:2012 2008:2012;79.0
151 Ballerup;TOT Total;2008:2012 2008:2012;78.5
153 Brøndby;TOT Total;2008:2012 2008:2012;78.0
155 Dragør;TOT Total;2008:2012 2008:2012;80.4
157 Gentofte;TOT Total;2008:2012 2008:2012;81.3
159 Gladsaxe;TOT Total;2008:2012 2008:2012;78.3
161 Glostrup;TOT Total;2008:2012 2008:2012;79.2
163 Herlev;TOT Total;2008:2012 2008:2012;77.9
165 Albertslund;TOT Total;2008:2012 2008:2012;79.2
167 Hvidovre;TOT Total;2008:2012 2008:2012;78.6
169 Høje-Taastrup;TOT Total;2008:2012 2008:2012;78.1
173 Lyngby-Taarbæk;TOT Total;2008:2012 2008:2012;81.3
175 Rødovre;TOT Total;2008:2012 2008:2012;78.6
183 Ishøj;TOT Total;2008:2012 2008:2012;77.5
185 Tårnby;TOT Total;2008:2012 2008:2012;78.6
187 Vallensbæk;TOT Total;2008:2012 2008:2012;79.8
190 Furesø;TOT Total;2008:2012 2008:2012;81.1
201 Allerød;TOT Total;2008:2012 2008:2012;81.4
210 Fredensborg;TOT Total;2008:2012 2008:2012;79.4
217 Helsingør;TOT Total;2008:2012 2008:2012;79.1
219 Hillerød;TOT Total;2008:2012 2008:2012;80.1
223 Hørsholm;TOT Total;2008:2012 2008:2012;81.6
230 Rudersdal;TOT Total;2008:2012 2008:2012;81.2
240 Egedal;TOT Total;2008:2012 2008:2012;80.6
250 Frederikssund;TOT Total;2008:2012 2008:2012;79.0
253 Greve;TOT Total;2008:2012 2008:2012;79.2
259 Køge;TOT Total;2008:2012 2008:2012;79.0
260 Halsnæs;TOT Total;2008:2012 2008:2012;78.6
265 Roskilde;TOT Total;2008:2012 2008:2012;79.7
269 Solrød;TOT Total;2008:2012 2008:2012;80.0
270 Gribskov;TOT Total;2008:2012 2008:2012;79.2
306 Odsherred;TOT Total;2008:2012 2008:2012;77.6
316 Holbæk;TOT Total;2008:2012 2008:2012;78.8
320 Faxe;TOT Total;2008:2012 2008:2012;78.8
326 Kalundborg;TOT Total;2008:2012 2008:2012;77.6
329 Ringsted;TOT Total;2008:2012 2008:2012;78.7
330 Slagelse;TOT Total;2008:2012 2008:2012;77.9
336 Stevns;TOT Total;2008:2012 2008:2012;79.1
340 Sorø;TOT Total;2008:2012 2008:2012;78.3
350 Lejre;TOT Total;2008:2012 2008:2012;80.5
360 Lolland;TOT Total;2008:2012 2008:2012;76.0
370 Næstved;TOT Total;2008:2012 2008:2012;78.3
376 Guldborgsund;TOT Total;2008:2012 2008:2012;77.0
390 Vordingborg;TOT Total;2008:2012 2008:2012;77.6
400 Bornholm;TOT Total;2008:2012 2008:2012;79.2
410 Middelfart;TOT Total;2008:2012 2008:2012;79.7
420 Assens;TOT Total;2008:2012 2008:2012;79.4
430 Faaborg-Midtfyn;TOT Total;2008:2012 2008:2012;79.6
440 Kerteminde;TOT Total;2008:2012 2008:2012;79.0
450 Nyborg;TOT Total;2008:2012 2008:2012;78.7
461 Odense;TOT Total;2008:2012 2008:2012;78.6
479 Svendborg;TOT Total;2008:2012 2008:2012;79.7
480 Nordfyns;TOT Total;2008:2012 2008:2012;78.8
482 Langeland;TOT Total;2008:2012 2008:2012;78.6
492 Ærø;TOT Total;2008:2012 2008:2012;..
510 Haderslev;TOT Total;2008:2012 2008:2012;79.1
530 Billund;TOT Total;2008:2012 2008:2012;80.0
540 Sønderborg;TOT Total;2008:2012 2008:2012;79.4
550 Tønder;TOT Total;2008:2012 2008:2012;79.2
561 Esbjerg;TOT Total;2008:2012 2008:2012;78.8
563 Fanø;TOT Total;2008:2012 2008:2012;..
573 Varde;TOT Total;2008:2012 2008:2012;79.9
575 Vejen;TOT Total;2008:2012 2008:2012;79.6
580 Aabenraa;TOT Total;2008:2012 2008:2012;79.1
607 Fredericia;TOT Total;2008:2012 2008:2012;78.7
615 Horsens;TOT Total;2008:2012 2008:2012;79.6
621 Kolding;TOT Total;2008:2012 2008:2012;79.7
630 Vejle;TOT Total;2008:2012 2008:2012;79.6
657 Herning;TOT Total;2008:2012 2008:2012;80.2
661 Holstebro;TOT Total;2008:2012 2008:2012;79.6
665 Lemvig;TOT Total;2008:2012 2008:2012;79.3
671 Struer;TOT Total;2008:2012 2008:2012;78.7
706 Syddjurs;TOT Total;2008:2012 2008:2012;80.2
707 Norddjurs;TOT Total;2008:2012 2008:2012;78.4
710 Favrskov;TOT Total;2008:2012 2008:2012;80.7
727 Odder;TOT Total;2008:2012 2008:2012;80.6
730 Randers;TOT Total;2008:2012 2008:2012;79.0
740 Silkeborg;TOT Total;2008:2012 2008:2012;79.8
741 Samsø;TOT Total;2008:2012 2008:2012;..
746 Skanderborg;TOT Total;2008:2012 2008:2012;80.5
751 Aarhus;TOT Total;2008:2012 2008:2012;79.9
756 Ikast-Brande;TOT Total;2008:2012 2008:2012;79.5
760 Ringkøbing-Skjern;TOT Total;2008:2012 2008:2012;80.0
766 Hedensted;TOT Total;2008:2012 2008:2012;80.2
773 Morsø;TOT Total;2008:2012 2008:2012;78.2
779 Skive;TOT Total;2008:2012 2008:2012;79.8
787 Thisted;TOT Total;2008:2012 2008:2012;78.8
791 Viborg;TOT Total;2008:2012 2008:2012;80.0
810 Brønderslev;TOT Total;2008:2012 2008:2012;79.3
813 Frederikshavn;TOT Total;2008:2012 2008:2012;78.5
820 Vesthimmerlands;TOT Total;2008:2012 2008:2012;79.4
825 Læsø;TOT Total;2008:2012 2008:2012;..
840 Rebild;TOT Total;2008:2012 2008:2012;79.8
846 Mariagerfjord;TOT Total;2008:2012 2008:2012;79.1
849 Jammerbugt;TOT Total;2008:2012 2008:2012;79.5
851 Aalborg;TOT Total;2008:2012 2008:2012;79.2
860 Hjørring;TOT Total;2008:2012 2008:2012;79.4
000 All Denmark;TOT Total;2010:2014 2010:2014;79.8
101 Copenhagen;TOT Total;2010:2014 2010:2014;77.6
147 Frederiksberg;TOT Total;2010:2014 2010:2014;79.6
151 Ballerup;TOT Total;2010:2014 2010:2014;79.3
153 Brøndby;TOT Total;2010:2014 2010:2014;78.8
155 Dragør;TOT Total;2010:2014 2010:2014;80.9
157 Gentofte;TOT Total;2010:2014 2010:2014;82.0
159 Gladsaxe;TOT Total;2010:2014 2010:2014;79.2
161 Glostrup;TOT Total;2010:2014 2010:2014;79.9
163 Herlev;TOT Total;2010:2014 2010:2014;78.6
165 Albertslund;TOT Total;2010:2014 2010:2014;79.9
167 Hvidovre;TOT Total;2010:2014 2010:2014;79.2
169 Høje-Taastrup;TOT Total;2010:2014 2010:2014;78.9
173 Lyngby-Taarbæk;TOT Total;2010:2014 2010:2014;82.1
000 All Denmark;TOT Total;2017:2021 2017:2021;81.3
101 Copenhagen;TOT Total;2017:2021 2017:2021;80.0
147 Frederiksberg;TOT Total;2017:2021 2017:2021;81.7
151 Ballerup;TOT Total;2017:2021 2017:2021;80.5
153 Brøndby;TOT Total;2017:2021 2017:2021;79.8
155 Dragør;TOT Total;2017:2021 2017:2021;81.9
157 Gentofte;TOT Total;2017:2021 2017:2021;83.6
159 Gladsaxe;TOT Total;2017:2021 2017:2021;80.9
161 Glostrup;TOT Total;2017:2021 2017:2021;81.1
163 Herlev;TOT Total;2017:2021 2017:2021;79.8
165 Albertslund;TOT Total;2017:2021 2017:2021;81.4
167 Hvidovre;TOT Total;2017:2021 2017:2021;80.7
169 Høje-Taastrup;TOT Total;2017:2021 2017:2021;80.8
173 Lyngby-Taarbæk;TOT Total;2017:2021 2017:2021;82.8
175 Rødovre;TOT Total;2017:2021 2017:2021;81.1
183 Ishøj;TOT Total;2017:2021 2017:2021;80.1
185 Tårnby;TOT Total;2017:2021 2017:2021;80.4
187 Vallensbæk;TOT Total;2017:2021 2017:2021;81.6
190 Furesø;TOT Total;2017:2021 2017:2021;83.1
201 Allerød;TOT Total;2017:2021 2017:2021;83.5
210 Fredensborg;TOT Total;2017:2021 2017:2021;82.1
217 Helsingør;TOT Total;2017:2021 2017:2021;81.5
219 Hillerød;TOT Total;2017:2021 2017:2021;82.0
223 Hørsholm;TOT Total;2017:2021 2017:2021;83.5
230 Rudersdal;TOT Total;2017:2021 2017:2021;83.7
240 Egedal;TOT Total;2017:2021 2017:2021;82.3
250 Frederikssund;TOT Total;2017:2021 2017:2021;81.1
253 Greve;TOT Total;2017:2021 2017:2021;81.7
259 Køge;TOT Total;2017:2021 2017:2021;81.1
260 Halsnæs;TOT Total;2017:2021 2017:2021;80.7
265 Roskilde;TOT Total;2017:2021 2017:2021;81.5
269 Solrød;TOT Total;2017:2021 2017:2021;82.7
270 Gribskov;TOT Total;2017:2021 2017:2021;81.6
306 Odsherred;TOT Total;2017:2021 2017:2021;80.1
316 Holbæk;TOT Total;2017:2021 2017:2021;80.5
320 Faxe;TOT Total;2017:2021 2017:2021;80.8
326 Kalundborg;TOT Total;2017:2021 2017:2021;80.4
329 Ringsted;TOT Total;2017:2021 2017:2021;80.8
330 Slagelse;TOT Total;2017:2021 2017:2021;79.9
336 Stevns;TOT Total;2017:2021 2017:2021;80.8
340 Sorø;TOT Total;2017:2021 2017:2021;80.3
350 Lejre;TOT Total;2017:2021 2017:2021;82.3
360 Lolland;TOT Total;2017:2021 2017:2021;78.5
370 Næstved;TOT Total;2017:2021 2017:2021;80.5
376 Guldborgsund;TOT Total;2017:2021 2017:2021;78.9
390 Vordingborg;TOT Total;2017:2021 2017:2021;79.4
400 Bornholm;TOT Total;2017:2021 2017:2021;79.7
410 Middelfart;TOT Total;2017:2021 2017:2021;81.0
420 Assens;TOT Total;2017:2021 2017:2021;81.3
430 Faaborg-Midtfyn;TOT Total;2017:2021 2017:2021;81.4
440 Kerteminde;TOT Total;2017:2021 2017:2021;81.7
450 Nyborg;TOT Total;2017:2021 2017:2021;80.6
461 Odense;TOT Total;2017:2021 2017:2021;81.2
479 Svendborg;TOT Total;2017:2021 2017:2021;81.2
480 Nordfyns;TOT Total;2017:2021 2017:2021;81.3
482 Langeland;TOT Total;2017:2021 2017:2021;80.0
492 Ærø;TOT Total;2017:2021 2017:2021;..
510 Haderslev;TOT Total;2017:2021 2017:2021;81.7
530 Billund;TOT Total;2017:2021 2017:2021;81.7
540 Sønderborg;TOT Total;2017:2021 2017:2021;82.0
550 Tønder;TOT Total;2017:2021 2017:2021;80.8
561 Esbjerg;TOT Total;2017:2021 2017:2021;80.8
563 Fanø;TOT Total;2017:2021 2017:2021;..
573 Varde;TOT Total;2017:2021 2017:2021;81.8
575 Vejen;TOT Total;2017:2021 2017:2021;81.7
580 Aabenraa;TOT Total;2017:2021 2017:2021;81.0
607 Fredericia;TOT Total;2017:2021 2017:2021;81.3
615 Horsens;TOT Total;2017:2021 2017:2021;81.1
621 Kolding;TOT Total;2017:2021 2017:2021;81.7
630 Vejle;TOT Total;2017:2021 2017:2021;81.5
657 Herning;TOT Total;2017:2021 2017:2021;81.7
661 Holstebro;TOT Total;2017:2021 2017:2021;82.1
665 Lemvig;TOT Total;2017:2021 2017:2021;81.3
671 Struer;TOT Total;2017:2021 2017:2021;81.5
706 Syddjurs;TOT Total;2017:2021 2017:2021;81.6
707 Norddjurs;TOT Total;2017:2021 2017:2021;80.3
710 Favrskov;TOT Total;2017:2021 2017:2021;81.9
727 Odder;TOT Total;2017:2021 2017:2021;83.1
730 Randers;TOT Total;2017:2021 2017:2021;80.5
740 Silkeborg;TOT Total;2017:2021 2017:2021;81.9
741 Samsø;TOT Total;2017:2021 2017:2021;..
746 Skanderborg;TOT Total;2017:2021 2017:2021;82.6
751 Aarhus;TOT Total;2017:2021 2017:2021;81.8
756 Ikast-Brande;TOT Total;2017:2021 2017:2021;81.4
760 Ringkøbing-Skjern;TOT Total;2017:2021 2017:2021;81.9
766 Hedensted;TOT Total;2017:2021 2017:2021;82.0
773 Morsø;TOT Total;2017:2021 2017:2021;80.1
779 Skive;TOT Total;2017:2021 2017:2021;81.4
787 Thisted;TOT Total;2017:2021 2017:2021;80.3
791 Viborg;TOT Total;2017:2021 2017:2021;82.0
810 Brønderslev;TOT Total;2017:2021 2017:2021;81.2
813 Frederikshavn;TOT Total;2017:2021 2017:2021;80.7
820 Vesthimmerlands;TOT Total;2017:2021 2017:2021;80.9
825 Læsø;TOT Total;2017:2021 2017:2021;..
840 Rebild;TOT Total;2017:2021 2017:2021;81.4
846 Mariagerfjord;TOT Total;2017:2021 2017:2021;81.2
849 Jammerbugt;TOT Total;2017:2021 2017:2021;81.2
851 Aalborg;TOT Total;2017:2021 2017:2021;81.1
860 Hjørring;TOT Total;2017:2021 2017:2021;81.5
000 All Denmark;TOT Total;2013:2017 2013:2017;80.6
101 Copenhagen;TOT Total;2013:2017 2013:2017;78.6
147 Frederiksberg;TOT Total;2013:2017 2013:2017;80.9
151 Ballerup;TOT Total;2013:2017 2013:2017;80.2
153 Brøndby;TOT Total;2013:2017 2013:2017;79.5
155 Dragør;TOT Total;2013:2017 2013:2017;81.5
157 Gentofte;TOT Total;2013:2017 2013:2017;83.1
159 Gladsaxe;TOT Total;2013:2017 2013:2017;80.0
161 Glostrup;TOT Total;2013:2017 2013:2017;80.4
163 Herlev;TOT Total;2013:2017 2013:2017;79.7
165 Albertslund;TOT Total;2013:2017 2013:2017;80.5
167 Hvidovre;TOT Total;2013:2017 2013:2017;80.5
169 Høje-Taastrup;TOT Total;2013:2017 2013:2017;80.1
173 Lyngby-Taarbæk;TOT Total;2013:2017 2013:2017;82.2
175 Rødovre;TOT Total;2013:2017 2013:2017;80.0
183 Ishøj;TOT Total;2013:2017 2013:2017;79.5
185 Tårnby;TOT Total;2013:2017 2013:2017;80.0
187 Vallensbæk;TOT Total;2013:2017 2013:2017;81.4
190 Furesø;TOT Total;2013:2017 2013:2017;82.4
201 Allerød;TOT Total;2013:2017 2013:2017;82.8
210 Fredensborg;TOT Total;2013:2017 2013:2017;81.8
217 Helsingør;TOT Total;2013:2017 2013:2017;80.4
219 Hillerød;TOT Total;2013:2017 2013:2017;81.5
223 Hørsholm;TOT Total;2013:2017 2013:2017;82.6
230 Rudersdal;TOT Total;2013:2017 2013:2017;83.1
240 Egedal;TOT Total;2013:2017 2013:2017;81.9
250 Frederikssund;TOT Total;2013:2017 2013:2017;80.1
253 Greve;TOT Total;2013:2017 2013:2017;81.1
259 Køge;TOT Total;2013:2017 2013:2017;80.7
260 Halsnæs;TOT Total;2013:2017 2013:2017;78.9
265 Roskilde;TOT Total;2013:2017 2013:2017;81.0
269 Solrød;TOT Total;2013:2017 2013:2017;81.7
270 Gribskov;TOT Total;2013:2017 2013:2017;80.6
306 Odsherred;TOT Total;2013:2017 2013:2017;79.2
316 Holbæk;TOT Total;2013:2017 2013:2017;80.5
320 Faxe;TOT Total;2013:2017 2013:2017;79.8
326 Kalundborg;TOT Total;2013:2017 2013:2017;79.9
329 Ringsted;TOT Total;2013:2017 2013:2017;80.1
330 Slagelse;TOT Total;2013:2017 2013:2017;79.2
336 Stevns;TOT Total;2013:2017 2013:2017;80.6
340 Sorø;TOT Total;2013:2017 2013:2017;79.3
350 Lejre;TOT Total;2013:2017 2013:2017;81.8
360 Lolland;TOT Total;2013:2017 2013:2017;77.4
370 Næstved;TOT Total;2013:2017 2013:2017;79.8
376 Guldborgsund;TOT Total;2013:2017 2013:2017;78.9
390 Vordingborg;TOT Total;2013:2017 2013:2017;78.7
400 Bornholm;TOT Total;2013:2017 2013:2017;79.5
410 Middelfart;TOT Total;2013:2017 2013:2017;80.7
420 Assens;TOT Total;2013:2017 2013:2017;80.8
430 Faaborg-Midtfyn;TOT Total;2013:2017 2013:2017;80.7
440 Kerteminde;TOT Total;2013:2017 2013:2017;81.4
450 Nyborg;TOT Total;2013:2017 2013:2017;80.6
461 Odense;TOT Total;2013:2017 2013:2017;80.6
479 Svendborg;TOT Total;2013:2017 2013:2017;80.9
480 Nordfyns;TOT Total;2013:2017 2013:2017;80.6
482 Langeland;TOT Total;2013:2017 2013:2017;79.8
492 Ærø;TOT Total;2013:2017 2013:2017;..
510 Haderslev;TOT Total;2013:2017 2013:2017;81.2
530 Billund;TOT Total;2013:2017 2013:2017;80.9
540 Sønderborg;TOT Total;2013:2017 2013:2017;81.0
550 Tønder;TOT Total;2013:2017 2013:2017;80.4
561 Esbjerg;TOT Total;2013:2017 2013:2017;80.2
563 Fanø;TOT Total;2013:2017 2013:2017;..
573 Varde;TOT Total;2013:2017 2013:2017;81.8
575 Vejen;TOT Total;2013:2017 2013:2017;81.1
580 Aabenraa;TOT Total;2013:2017 2013:2017;80.4
607 Fredericia;TOT Total;2013:2017 2013:2017;80.3
615 Horsens;TOT Total;2013:2017 2013:2017;81.0
621 Kolding;TOT Total;2013:2017 2013:2017;80.7
630 Vejle;TOT Total;2013:2017 2013:2017;80.8
657 Herning;TOT Total;2013:2017 2013:2017;81.1
661 Holstebro;TOT Total;2013:2017 2013:2017;81.1
665 Lemvig;TOT Total;2013:2017 2013:2017;80.5
671 Struer;TOT Total;2013:2017 2013:2017;81.1
706 Syddjurs;TOT Total;2013:2017 2013:2017;81.3
707 Norddjurs;TOT Total;2013:2017 2013:2017;79.5
710 Favrskov;TOT Total;2013:2017 2013:2017;81.7
727 Odder;TOT Total;2013:2017 2013:2017;81.6
730 Randers;TOT Total;2013:2017 2013:2017;79.8
740 Silkeborg;TOT Total;2013:2017 2013:2017;81.3
741 Samsø;TOT Total;2013:2017 2013:2017;..
746 Skanderborg;TOT Total;2013:2017 2013:2017;82.1
751 Aarhus;TOT Total;2013:2017 2013:2017;81.2
756 Ikast-Brande;TOT Total;2013:2017 2013:2017;81.2
760 Ringkøbing-Skjern;TOT Total;2013:2017 2013:2017;81.2
766 Hedensted;TOT Total;2013:2017 2013:2017;81.3
773 Morsø;TOT Total;2013:2017 2013:2017;79.8
779 Skive;TOT Total;2013:2017 2013:2017;80.7
787 Thisted;TOT Total;2013:2017 2013:2017;79.8
791 Viborg;TOT Total;2013:2017 2013:2017;81.5
810 Brønderslev;TOT Total;2013:2017 2013:2017;80.6
813 Frederikshavn;TOT Total;2013:2017 2013:2017;80.0
820 Vesthimmerlands;TOT Total;2013:2017 2013:2017;80.6
825 Læsø;TOT Total;2013:2017 2013:2017;..
840 Rebild;TOT Total;2013:2017 2013:2017;80.8
846 Mariagerfjord;TOT Total;2013:2017 2013:2017;80.1
849 Jammerbugt;TOT Total;2013:2017 2013:2017;80.7
851 Aalborg;TOT Total;2013:2017 2013:2017;80.5
860 Hjørring;TOT Total;2013:2017 2013:2017;81.2
000 All Denmark;TOT Total;2007:2011 2007:2011;78.8
101 Copenhagen;TOT Total;2007:2011 2007:2011;76.5
147 Frederiksberg;TOT Total;2007:2011 2007:2011;78.7
151 Ballerup;TOT Total;2007:2011 2007:2011;78.3
153 Brøndby;TOT Total;2007:2011 2007:2011;77.7
155 Dragør;TOT Total;2007:2011 2007:2011;80.2
157 Gentofte;TOT Total;2007:2011 2007:2011;81.0
159 Gladsaxe;TOT Total;2007:2011 2007:2011;78.0
161 Glostrup;TOT Total;2007:2011 2007:2011;78.7
163 Herlev;TOT Total;2007:2011 2007:2011;77.2
165 Albertslund;TOT Total;2007:2011 2007:2011;78.7
167 Hvidovre;TOT Total;2007:2011 2007:2011;78.3
