UDLFORH;TID;INDHOLD
LEJ Occupied by the tenant;2020 2020;1380100
UOPL Not stated;2020 2020;13543
EJ Occupied by the owner;2021 2021;1328114
LEJ Occupied by the tenant;2021 2021;1395515
UOPL Not stated;2021 2021;24940
EJ Occupied by the owner;2022 2022;1325506
LEJ Occupied by the tenant;2022 2022;1433628
UOPL Not stated;2022 2022;20489
EJ Occupied by the owner;2023 2023;1338703
LEJ Occupied by the tenant;2023 2023;1442611
UOPL Not stated;2023 2023;24977
EJ Occupied by the owner;2024 2024;1342874
LEJ Occupied by the tenant;2024 2024;1457415
UOPL Not stated;2024 2024;27207
EJ Occupied by the owner;2025 2025;1345197
LEJ Occupied by the tenant;2025 2025;1481751
UOPL Not stated;2025 2025;25052
EJ Occupied by the owner;2026 2026;1355272
LEJ Occupied by the tenant;2026 2026;1496878
UOPL Not stated;2026 2026;20588
