Year,MunicipalityCode,Municipality,DecileCode,DecileNumber,Decile,AvgDisposableIncome
2020,190,Furesø,4DC,4,Fourth decil,288791
2020,190,Furesø,5DC,5,Fifth decil,333923
2020,190,Furesø,6DC,6,Sixth decil,376242
2020,190,Furesø,7DC,7,Seventh decil,418897
2020,190,Furesø,8DC,8,Eigth decil,471997
2020,190,Furesø,9DC,9,Ninth decil,551467
2020,190,Furesø,10DC,10,Tenth decil,908073
2021,190,Furesø,1DC,1,First decil,128739
2021,190,Furesø,2DC,2,Second decil,202650
2021,190,Furesø,3DC,3,Third decil,251963
2021,190,Furesø,4DC,4,Fourth decil,300466
2021,190,Furesø,5DC,5,Fifth decil,347209
2021,190,Furesø,6DC,6,Sixth decil,391438
2021,190,Furesø,7DC,7,Seventh decil,437355
2021,190,Furesø,8DC,8,Eigth decil,492749
2021,190,Furesø,9DC,9,Ninth decil,579500
2021,190,Furesø,10DC,10,Tenth decil,980634
2022,190,Furesø,1DC,1,First decil,123445
2022,190,Furesø,2DC,2,Second decil,209426
2022,190,Furesø,3DC,3,Third decil,256031
2022,190,Furesø,4DC,4,Fourth decil,303843
2022,190,Furesø,5DC,5,Fifth decil,348572
2022,190,Furesø,6DC,6,Sixth decil,390281
2022,190,Furesø,7DC,7,Seventh decil,434496
2022,190,Furesø,8DC,8,Eigth decil,487767
2022,190,Furesø,9DC,9,Ninth decil,573311
2022,190,Furesø,10DC,10,Tenth decil,940989
2023,190,Furesø,1DC,1,First decil,131830
2023,190,Furesø,2DC,2,Second decil,215262
2023,190,Furesø,3DC,3,Third decil,264103
2023,190,Furesø,4DC,4,Fourth decil,313491
2023,190,Furesø,5DC,5,Fifth decil,358561
2023,190,Furesø,6DC,6,Sixth decil,403040
2023,190,Furesø,7DC,7,Seventh decil,450684
2023,190,Furesø,8DC,8,Eigth decil,510230
2023,190,Furesø,9DC,9,Ninth decil,603191
2023,190,Furesø,10DC,10,Tenth decil,1063646
2024,190,Furesø,1DC,1,First decil,140278
2024,190,Furesø,2DC,2,Second decil,222942
2024,190,Furesø,3DC,3,Third decil,272701
2024,190,Furesø,4DC,4,Fourth decil,319672
2024,190,Furesø,5DC,5,Fifth decil,364440
2024,190,Furesø,6DC,6,Sixth decil,409053
2024,190,Furesø,7DC,7,Seventh decil,456723
2024,190,Furesø,8DC,8,Eigth decil,517536
2024,190,Furesø,9DC,9,Ninth decil,612030
2024,190,Furesø,10DC,10,Tenth decil,1081207
1987,201,Allerød,1DC,1,First decil,47871
1987,201,Allerød,2DC,2,Second decil,77534
1987,201,Allerød,3DC,3,Third decil,89873
1987,201,Allerød,4DC,4,Fourth decil,98875
1987,201,Allerød,5DC,5,Fifth decil,107120
1987,201,Allerød,6DC,6,Sixth decil,114817
1987,201,Allerød,7DC,7,Seventh decil,123611
1987,201,Allerød,8DC,8,Eigth decil,133766
1987,201,Allerød,9DC,9,Ninth decil,148617
1987,201,Allerød,10DC,10,Tenth decil,205967
1988,201,Allerød,1DC,1,First decil,51075
1988,201,Allerød,2DC,2,Second decil,81275
1988,201,Allerød,3DC,3,Third decil,94469
1988,201,Allerød,4DC,4,Fourth decil,104243
1988,201,Allerød,5DC,5,Fifth decil,112607
1988,201,Allerød,6DC,6,Sixth decil,120854
1988,201,Allerød,7DC,7,Seventh decil,129854
1988,201,Allerød,8DC,8,Eigth decil,140826
1988,201,Allerød,9DC,9,Ninth decil,156477
1988,201,Allerød,10DC,10,Tenth decil,210998
1989,201,Allerød,1DC,1,First decil,49604
1989,201,Allerød,2DC,2,Second decil,84776
1989,201,Allerød,3DC,3,Third decil,98355
1989,201,Allerød,4DC,4,Fourth decil,108771
1989,201,Allerød,5DC,5,Fifth decil,117927
1989,201,Allerød,6DC,6,Sixth decil,126714
1989,201,Allerød,7DC,7,Seventh decil,136671
1989,201,Allerød,8DC,8,Eigth decil,148878
1989,201,Allerød,9DC,9,Ninth decil,166719
1989,201,Allerød,10DC,10,Tenth decil,224094
1990,201,Allerød,1DC,1,First decil,53807
1990,201,Allerød,2DC,2,Second decil,88703
1990,201,Allerød,3DC,3,Third decil,102565
1990,201,Allerød,4DC,4,Fourth decil,113739
1990,201,Allerød,5DC,5,Fifth decil,123237
1990,201,Allerød,6DC,6,Sixth decil,133054
1990,201,Allerød,7DC,7,Seventh decil,143468
1990,201,Allerød,8DC,8,Eigth decil,156416
1990,201,Allerød,9DC,9,Ninth decil,174909
1990,201,Allerød,10DC,10,Tenth decil,241271
1991,201,Allerød,1DC,1,First decil,57311
1991,201,Allerød,2DC,2,Second decil,92579
1991,201,Allerød,3DC,3,Third decil,107422
1991,201,Allerød,4DC,4,Fourth decil,118987
1991,201,Allerød,5DC,5,Fifth decil,129531
1991,201,Allerød,6DC,6,Sixth decil,139554
1991,201,Allerød,7DC,7,Seventh decil,150571
1991,201,Allerød,8DC,8,Eigth decil,164321
1991,201,Allerød,9DC,9,Ninth decil,184126
1991,201,Allerød,10DC,10,Tenth decil,254203
1992,201,Allerød,1DC,1,First decil,56808
1992,201,Allerød,2DC,2,Second decil,94131
1992,201,Allerød,3DC,3,Third decil,110618
1992,201,Allerød,4DC,4,Fourth decil,122580
1992,201,Allerød,5DC,5,Fifth decil,133134
1992,201,Allerød,6DC,6,Sixth decil,143787
1992,201,Allerød,7DC,7,Seventh decil,154949
1992,201,Allerød,8DC,8,Eigth decil,168937
1992,201,Allerød,9DC,9,Ninth decil,189873
1992,201,Allerød,10DC,10,Tenth decil,257901
1993,201,Allerød,1DC,1,First decil,56237
1993,201,Allerød,2DC,2,Second decil,97456
1993,201,Allerød,3DC,3,Third decil,113287
1993,201,Allerød,4DC,4,Fourth decil,125179
1993,201,Allerød,5DC,5,Fifth decil,136247
1993,201,Allerød,6DC,6,Sixth decil,147778
1993,201,Allerød,7DC,7,Seventh decil,159348
1993,201,Allerød,8DC,8,Eigth decil,173377
1993,201,Allerød,9DC,9,Ninth decil,195179
1993,201,Allerød,10DC,10,Tenth decil,275772
1994,201,Allerød,1DC,1,First decil,64662
1994,201,Allerød,2DC,2,Second decil,102878
1994,201,Allerød,3DC,3,Third decil,121134
1994,201,Allerød,4DC,4,Fourth decil,134767
1994,201,Allerød,5DC,5,Fifth decil,146887
1994,201,Allerød,6DC,6,Sixth decil,158836
1994,201,Allerød,7DC,7,Seventh decil,171532
1994,201,Allerød,8DC,8,Eigth decil,186100
1994,201,Allerød,9DC,9,Ninth decil,208173
1994,201,Allerød,10DC,10,Tenth decil,284314
1995,201,Allerød,1DC,1,First decil,61293
1995,201,Allerød,2DC,2,Second decil,107107
1995,201,Allerød,3DC,3,Third decil,125229
1995,201,Allerød,4DC,4,Fourth decil,139560
1995,201,Allerød,5DC,5,Fifth decil,152564
1995,201,Allerød,6DC,6,Sixth decil,165794
1995,201,Allerød,7DC,7,Seventh decil,178625
1995,201,Allerød,8DC,8,Eigth decil,194727
1995,201,Allerød,9DC,9,Ninth decil,219300
1995,201,Allerød,10DC,10,Tenth decil,305556
1996,201,Allerød,1DC,1,First decil,60803
1996,201,Allerød,2DC,2,Second decil,110427
1996,201,Allerød,3DC,3,Third decil,129128
1996,201,Allerød,4DC,4,Fourth decil,143930
1996,201,Allerød,5DC,5,Fifth decil,157333
1996,201,Allerød,6DC,6,Sixth decil,170212
1996,201,Allerød,7DC,7,Seventh decil,184969
1996,201,Allerød,8DC,8,Eigth decil,202860
1996,201,Allerød,9DC,9,Ninth decil,229144
1996,201,Allerød,10DC,10,Tenth decil,319450
1997,201,Allerød,1DC,1,First decil,76978
1997,201,Allerød,2DC,2,Second decil,114243
1997,201,Allerød,3DC,3,Third decil,133776
1997,201,Allerød,4DC,4,Fourth decil,149337
1997,201,Allerød,5DC,5,Fifth decil,162642
1997,201,Allerød,6DC,6,Sixth decil,176048
1997,201,Allerød,7DC,7,Seventh decil,191281
1997,201,Allerød,8DC,8,Eigth decil,210205
1997,201,Allerød,9DC,9,Ninth decil,238184
1997,201,Allerød,10DC,10,Tenth decil,349583
1998,201,Allerød,1DC,1,First decil,75835
1998,201,Allerød,2DC,2,Second decil,118287
1998,201,Allerød,3DC,3,Third decil,139166
1998,201,Allerød,4DC,4,Fourth decil,155326
1998,201,Allerød,5DC,5,Fifth decil,169813
1998,201,Allerød,6DC,6,Sixth decil,184600
1998,201,Allerød,7DC,7,Seventh decil,201689
1998,201,Allerød,8DC,8,Eigth decil,221530
1998,201,Allerød,9DC,9,Ninth decil,250332
1998,201,Allerød,10DC,10,Tenth decil,372784
1999,201,Allerød,1DC,1,First decil,79752
1999,201,Allerød,2DC,2,Second decil,121764
1999,201,Allerød,3DC,3,Third decil,142988
1999,201,Allerød,4DC,4,Fourth decil,159429
1999,201,Allerød,5DC,5,Fifth decil,174423
1999,201,Allerød,6DC,6,Sixth decil,189863
1999,201,Allerød,7DC,7,Seventh decil,206472
1999,201,Allerød,8DC,8,Eigth decil,226166
1999,201,Allerød,9DC,9,Ninth decil,256320
1999,201,Allerød,10DC,10,Tenth decil,375838
2000,201,Allerød,1DC,1,First decil,80609
2000,201,Allerød,2DC,2,Second decil,125315
2000,201,Allerød,3DC,3,Third decil,147567
2000,201,Allerød,4DC,4,Fourth decil,165211
2000,201,Allerød,5DC,5,Fifth decil,180618
2000,201,Allerød,6DC,6,Sixth decil,196494
2000,201,Allerød,7DC,7,Seventh decil,213745
2000,201,Allerød,8DC,8,Eigth decil,234688
2000,201,Allerød,9DC,9,Ninth decil,265706
2000,201,Allerød,10DC,10,Tenth decil,409344
2001,201,Allerød,1DC,1,First decil,85106
2001,201,Allerød,2DC,2,Second decil,131059
2001,201,Allerød,3DC,3,Third decil,154308
2001,201,Allerød,4DC,4,Fourth decil,172120
2001,201,Allerød,5DC,5,Fifth decil,188873
2001,201,Allerød,6DC,6,Sixth decil,205714
2001,201,Allerød,7DC,7,Seventh decil,223739
2001,201,Allerød,8DC,8,Eigth decil,246460
2001,201,Allerød,9DC,9,Ninth decil,278672
2001,201,Allerød,10DC,10,Tenth decil,408814
2002,201,Allerød,1DC,1,First decil,59651
2002,201,Allerød,2DC,2,Second decil,136933
2002,201,Allerød,3DC,3,Third decil,160719
2002,201,Allerød,4DC,4,Fourth decil,180629
2002,201,Allerød,5DC,5,Fifth decil,198106
2002,201,Allerød,6DC,6,Sixth decil,215130
2002,201,Allerød,7DC,7,Seventh decil,233340
2002,201,Allerød,8DC,8,Eigth decil,255696
2002,201,Allerød,9DC,9,Ninth decil,289638
2002,201,Allerød,10DC,10,Tenth decil,417640
2003,201,Allerød,1DC,1,First decil,95759
2003,201,Allerød,2DC,2,Second decil,141747
2003,201,Allerød,3DC,3,Third decil,166229
2003,201,Allerød,4DC,4,Fourth decil,186533
2003,201,Allerød,5DC,5,Fifth decil,204942
2003,201,Allerød,6DC,6,Sixth decil,223202
2003,201,Allerød,7DC,7,Seventh decil,242056
2003,201,Allerød,8DC,8,Eigth decil,264901
2003,201,Allerød,9DC,9,Ninth decil,300021
2003,201,Allerød,10DC,10,Tenth decil,445629
2004,201,Allerød,1DC,1,First decil,102124
2004,201,Allerød,2DC,2,Second decil,148717
2004,201,Allerød,3DC,3,Third decil,175763
2004,201,Allerød,4DC,4,Fourth decil,196759
2004,201,Allerød,5DC,5,Fifth decil,215342
2004,201,Allerød,6DC,6,Sixth decil,234913
2004,201,Allerød,7DC,7,Seventh decil,255238
2004,201,Allerød,8DC,8,Eigth decil,279401
2004,201,Allerød,9DC,9,Ninth decil,316766
2004,201,Allerød,10DC,10,Tenth decil,483021
2005,201,Allerød,1DC,1,First decil,102949
2005,201,Allerød,2DC,2,Second decil,155401
2005,201,Allerød,3DC,3,Third decil,183179
2005,201,Allerød,4DC,4,Fourth decil,206084
2005,201,Allerød,5DC,5,Fifth decil,224822
2005,201,Allerød,6DC,6,Sixth decil,244058
2005,201,Allerød,7DC,7,Seventh decil,264691
2005,201,Allerød,8DC,8,Eigth decil,290813
2005,201,Allerød,9DC,9,Ninth decil,329136
2005,201,Allerød,10DC,10,Tenth decil,535001
2006,201,Allerød,1DC,1,First decil,104115
2006,201,Allerød,2DC,2,Second decil,157866
2006,201,Allerød,3DC,3,Third decil,187540
2006,201,Allerød,4DC,4,Fourth decil,210423
2006,201,Allerød,5DC,5,Fifth decil,230232
2006,201,Allerød,6DC,6,Sixth decil,250010
2006,201,Allerød,7DC,7,Seventh decil,271115
2006,201,Allerød,8DC,8,Eigth decil,298429
2006,201,Allerød,9DC,9,Ninth decil,339495
2006,201,Allerød,10DC,10,Tenth decil,555781
2007,201,Allerød,1DC,1,First decil,100489
2007,201,Allerød,2DC,2,Second decil,159047
2007,201,Allerød,3DC,3,Third decil,189038
2007,201,Allerød,4DC,4,Fourth decil,212933
2007,201,Allerød,5DC,5,Fifth decil,234317
2007,201,Allerød,6DC,6,Sixth decil,255475
2007,201,Allerød,7DC,7,Seventh decil,277715
2007,201,Allerød,8DC,8,Eigth decil,306337
2007,201,Allerød,9DC,9,Ninth decil,348310
2007,201,Allerød,10DC,10,Tenth decil,581010
2008,201,Allerød,1DC,1,First decil,68860
2008,201,Allerød,2DC,2,Second decil,160963
2008,201,Allerød,3DC,3,Third decil,191256
2008,201,Allerød,4DC,4,Fourth decil,215942
2008,201,Allerød,5DC,5,Fifth decil,238755
2008,201,Allerød,6DC,6,Sixth decil,261315
2008,201,Allerød,7DC,7,Seventh decil,284577
2008,201,Allerød,8DC,8,Eigth decil,313096
2008,201,Allerød,9DC,9,Ninth decil,354928
2008,201,Allerød,10DC,10,Tenth decil,514017
2009,201,Allerød,1DC,1,First decil,88540
2009,201,Allerød,2DC,2,Second decil,162535
2009,201,Allerød,3DC,3,Third decil,192416
2009,201,Allerød,4DC,4,Fourth decil,216822
2009,201,Allerød,5DC,5,Fifth decil,238605
2009,201,Allerød,6DC,6,Sixth decil,260385
2009,201,Allerød,7DC,7,Seventh decil,281954
2009,201,Allerød,8DC,8,Eigth decil,309282
2009,201,Allerød,9DC,9,Ninth decil,350040
2009,201,Allerød,10DC,10,Tenth decil,543960
2010,201,Allerød,1DC,1,First decil,104244
2010,201,Allerød,2DC,2,Second decil,173491
2010,201,Allerød,3DC,3,Third decil,207196
2010,201,Allerød,4DC,4,Fourth decil,236480
2010,201,Allerød,5DC,5,Fifth decil,263088
2010,201,Allerød,6DC,6,Sixth decil,289461
2010,201,Allerød,7DC,7,Seventh decil,315257
2010,201,Allerød,8DC,8,Eigth decil,347907
2010,201,Allerød,9DC,9,Ninth decil,396782
2010,201,Allerød,10DC,10,Tenth decil,644215
2011,201,Allerød,1DC,1,First decil,111410
2011,201,Allerød,2DC,2,Second decil,178909
2011,201,Allerød,3DC,3,Third decil,215249
2011,201,Allerød,4DC,4,Fourth decil,246476
2011,201,Allerød,5DC,5,Fifth decil,273510
2011,201,Allerød,6DC,6,Sixth decil,300287
2011,201,Allerød,7DC,7,Seventh decil,327528
2011,201,Allerød,8DC,8,Eigth decil,362250
2011,201,Allerød,9DC,9,Ninth decil,413750
2011,201,Allerød,10DC,10,Tenth decil,669303
2012,201,Allerød,1DC,1,First decil,114918
2012,201,Allerød,2DC,2,Second decil,183276
2012,201,Allerød,3DC,3,Third decil,220946
2012,201,Allerød,4DC,4,Fourth decil,251771
2012,201,Allerød,5DC,5,Fifth decil,279639
2012,201,Allerød,6DC,6,Sixth decil,307179
2012,201,Allerød,7DC,7,Seventh decil,335724
2012,201,Allerød,8DC,8,Eigth decil,370310
2012,201,Allerød,9DC,9,Ninth decil,423513
2012,201,Allerød,10DC,10,Tenth decil,679094
2013,201,Allerød,1DC,1,First decil,122662
2013,201,Allerød,2DC,2,Second decil,189675
2013,201,Allerød,3DC,3,Third decil,228925
2013,201,Allerød,4DC,4,Fourth decil,261051
2013,201,Allerød,5DC,5,Fifth decil,290487
2013,201,Allerød,6DC,6,Sixth decil,319192
2013,201,Allerød,7DC,7,Seventh decil,351750
2013,201,Allerød,8DC,8,Eigth decil,387379
2013,201,Allerød,9DC,9,Ninth decil,443899
2013,201,Allerød,10DC,10,Tenth decil,666734
2014,201,Allerød,1DC,1,First decil,124614
2014,201,Allerød,2DC,2,Second decil,194465
2014,201,Allerød,3DC,3,Third decil,234280
2014,201,Allerød,4DC,4,Fourth decil,267976
2014,201,Allerød,5DC,5,Fifth decil,298801
2014,201,Allerød,6DC,6,Sixth decil,328566
2014,201,Allerød,7DC,7,Seventh decil,360824
2014,201,Allerød,8DC,8,Eigth decil,398022
2014,201,Allerød,9DC,9,Ninth decil,456333
2014,201,Allerød,10DC,10,Tenth decil,695091
2015,201,Allerød,1DC,1,First decil,125030
2015,201,Allerød,2DC,2,Second decil,196410
2015,201,Allerød,3DC,3,Third decil,238267
2015,201,Allerød,4DC,4,Fourth decil,273713
2015,201,Allerød,5DC,5,Fifth decil,303484
2015,201,Allerød,6DC,6,Sixth decil,335273
2015,201,Allerød,7DC,7,Seventh decil,368491
2015,201,Allerød,8DC,8,Eigth decil,407579
2015,201,Allerød,9DC,9,Ninth decil,467823
2015,201,Allerød,10DC,10,Tenth decil,737743
2016,201,Allerød,1DC,1,First decil,121469
2016,201,Allerød,2DC,2,Second decil,198974
2016,201,Allerød,3DC,3,Third decil,243386
2016,201,Allerød,4DC,4,Fourth decil,279384
2016,201,Allerød,5DC,5,Fifth decil,311737
2016,201,Allerød,6DC,6,Sixth decil,342303
2016,201,Allerød,7DC,7,Seventh decil,377525
2016,201,Allerød,8DC,8,Eigth decil,419726
2016,201,Allerød,9DC,9,Ninth decil,481114
2016,201,Allerød,10DC,10,Tenth decil,732849
2017,201,Allerød,1DC,1,First decil,119018
2017,201,Allerød,2DC,2,Second decil,199463
2017,201,Allerød,3DC,3,Third decil,246518
2017,201,Allerød,4DC,4,Fourth decil,284352
2017,201,Allerød,5DC,5,Fifth decil,317228
2017,201,Allerød,6DC,6,Sixth decil,348930
2017,201,Allerød,7DC,7,Seventh decil,383830
2017,201,Allerød,8DC,8,Eigth decil,426814
2017,201,Allerød,9DC,9,Ninth decil,489821
2017,201,Allerød,10DC,10,Tenth decil,780579
2018,201,Allerød,1DC,1,First decil,125361
2018,201,Allerød,2DC,2,Second decil,207398
2018,201,Allerød,3DC,3,Third decil,254512
2018,201,Allerød,4DC,4,Fourth decil,291498
2018,201,Allerød,5DC,5,Fifth decil,324599
2018,201,Allerød,6DC,6,Sixth decil,356171
2018,201,Allerød,7DC,7,Seventh decil,392915
2018,201,Allerød,8DC,8,Eigth decil,437774
2018,201,Allerød,9DC,9,Ninth decil,498930
2018,201,Allerød,10DC,10,Tenth decil,770199
2019,201,Allerød,1DC,1,First decil,133045
2019,201,Allerød,2DC,2,Second decil,212677
2019,201,Allerød,3DC,3,Third decil,262441
2019,201,Allerød,4DC,4,Fourth decil,300944
2019,201,Allerød,5DC,5,Fifth decil,334536
2019,201,Allerød,6DC,6,Sixth decil,366718
2019,201,Allerød,7DC,7,Seventh decil,401696
2019,201,Allerød,8DC,8,Eigth decil,448082
2019,201,Allerød,9DC,9,Ninth decil,517420
2019,201,Allerød,10DC,10,Tenth decil,840605
2020,201,Allerød,1DC,1,First decil,133892
2020,201,Allerød,2DC,2,Second decil,220359
2020,201,Allerød,3DC,3,Third decil,270454
2020,201,Allerød,4DC,4,Fourth decil,312069
2020,201,Allerød,5DC,5,Fifth decil,346500
2020,201,Allerød,6DC,6,Sixth decil,380206
2020,201,Allerød,7DC,7,Seventh decil,417777
2020,201,Allerød,8DC,8,Eigth decil,464130
2020,201,Allerød,9DC,9,Ninth decil,534804
2020,201,Allerød,10DC,10,Tenth decil,830716
2021,201,Allerød,1DC,1,First decil,142407
2021,201,Allerød,2DC,2,Second decil,228997
2021,201,Allerød,3DC,3,Third decil,283073
2021,201,Allerød,4DC,4,Fourth decil,324664
2021,201,Allerød,5DC,5,Fifth decil,359869
2021,201,Allerød,6DC,6,Sixth decil,395518
2021,201,Allerød,7DC,7,Seventh decil,433947
2021,201,Allerød,8DC,8,Eigth decil,483930
2021,201,Allerød,9DC,9,Ninth decil,563998
2021,201,Allerød,10DC,10,Tenth decil,904143
2022,201,Allerød,1DC,1,First decil,131767
2022,201,Allerød,2DC,2,Second decil,231436
2022,201,Allerød,3DC,3,Third decil,285608
2022,201,Allerød,4DC,4,Fourth decil,325671
2022,201,Allerød,5DC,5,Fifth decil,360184
2022,201,Allerød,6DC,6,Sixth decil,395637
2022,201,Allerød,7DC,7,Seventh decil,432526
2022,201,Allerød,8DC,8,Eigth decil,481104
2022,201,Allerød,9DC,9,Ninth decil,555224
2022,201,Allerød,10DC,10,Tenth decil,915260
2023,201,Allerød,1DC,1,First decil,146242
2023,201,Allerød,2DC,2,Second decil,235217
2023,201,Allerød,3DC,3,Third decil,288445
2023,201,Allerød,4DC,4,Fourth decil,330726
2023,201,Allerød,5DC,5,Fifth decil,366618
2023,201,Allerød,6DC,6,Sixth decil,402462
2023,201,Allerød,7DC,7,Seventh decil,441992
2023,201,Allerød,8DC,8,Eigth decil,493908
2023,201,Allerød,9DC,9,Ninth decil,572619
2023,201,Allerød,10DC,10,Tenth decil,932679
2024,201,Allerød,1DC,1,First decil,150353
2024,201,Allerød,2DC,2,Second decil,240622
2024,201,Allerød,3DC,3,Third decil,293481
2024,201,Allerød,4DC,4,Fourth decil,335351
2024,201,Allerød,5DC,5,Fifth decil,371976
2024,201,Allerød,6DC,6,Sixth decil,408279
2024,201,Allerød,7DC,7,Seventh decil,449274
2024,201,Allerød,8DC,8,Eigth decil,502159
2024,201,Allerød,9DC,9,Ninth decil,585006
2024,201,Allerød,10DC,10,Tenth decil,1000886
1987,210,Fredensborg,1DC,1,First decil,36204
1987,210,Fredensborg,2DC,2,Second decil,69109
1987,210,Fredensborg,3DC,3,Third decil,80997
1987,210,Fredensborg,4DC,4,Fourth decil,90213
1987,210,Fredensborg,5DC,5,Fifth decil,97979
1987,210,Fredensborg,6DC,6,Sixth decil,105956
1987,210,Fredensborg,7DC,7,Seventh decil,114347
1987,210,Fredensborg,8DC,8,Eigth decil,124940
1987,210,Fredensborg,9DC,9,Ninth decil,139285
1987,210,Fredensborg,10DC,10,Tenth decil,188803
1988,210,Fredensborg,1DC,1,First decil,36372
1988,210,Fredensborg,2DC,2,Second decil,72928
1988,210,Fredensborg,3DC,3,Third decil,85349
1988,210,Fredensborg,4DC,4,Fourth decil,95339
1988,210,Fredensborg,5DC,5,Fifth decil,103798
1988,210,Fredensborg,6DC,6,Sixth decil,112093
1988,210,Fredensborg,7DC,7,Seventh decil,121170
1988,210,Fredensborg,8DC,8,Eigth decil,131967
1988,210,Fredensborg,9DC,9,Ninth decil,146925
1988,210,Fredensborg,10DC,10,Tenth decil,198697
1989,210,Fredensborg,1DC,1,First decil,34927
1989,210,Fredensborg,2DC,2,Second decil,76427
1989,210,Fredensborg,3DC,3,Third decil,89499
1989,210,Fredensborg,4DC,4,Fourth decil,99770
1989,210,Fredensborg,5DC,5,Fifth decil,108580
1989,210,Fredensborg,6DC,6,Sixth decil,117450
1989,210,Fredensborg,7DC,7,Seventh decil,126976
1989,210,Fredensborg,8DC,8,Eigth decil,138246
1989,210,Fredensborg,9DC,9,Ninth decil,154939
1989,210,Fredensborg,10DC,10,Tenth decil,218305
1990,210,Fredensborg,1DC,1,First decil,40880
1990,210,Fredensborg,2DC,2,Second decil,78040
1990,210,Fredensborg,3DC,3,Third decil,92098
1990,210,Fredensborg,4DC,4,Fourth decil,103014
1990,210,Fredensborg,5DC,5,Fifth decil,112304
1990,210,Fredensborg,6DC,6,Sixth decil,121607
1990,210,Fredensborg,7DC,7,Seventh decil,131688
1990,210,Fredensborg,8DC,8,Eigth decil,144387
1990,210,Fredensborg,9DC,9,Ninth decil,162993
1990,210,Fredensborg,10DC,10,Tenth decil,233394
1991,210,Fredensborg,1DC,1,First decil,39025
1991,210,Fredensborg,2DC,2,Second decil,80454
1991,210,Fredensborg,3DC,3,Third decil,95236
1991,210,Fredensborg,4DC,4,Fourth decil,107101
1991,210,Fredensborg,5DC,5,Fifth decil,117460
1991,210,Fredensborg,6DC,6,Sixth decil,127633
1991,210,Fredensborg,7DC,7,Seventh decil,138715
1991,210,Fredensborg,8DC,8,Eigth decil,152096
1991,210,Fredensborg,9DC,9,Ninth decil,171672
1991,210,Fredensborg,10DC,10,Tenth decil,242690
1992,210,Fredensborg,1DC,1,First decil,36643
1992,210,Fredensborg,2DC,2,Second decil,82175
1992,210,Fredensborg,3DC,3,Third decil,97203
1992,210,Fredensborg,4DC,4,Fourth decil,109749
1992,210,Fredensborg,5DC,5,Fifth decil,120233
1992,210,Fredensborg,6DC,6,Sixth decil,130599
1992,210,Fredensborg,7DC,7,Seventh decil,142187
1992,210,Fredensborg,8DC,8,Eigth decil,155891
1992,210,Fredensborg,9DC,9,Ninth decil,175593
1992,210,Fredensborg,10DC,10,Tenth decil,250671
1993,210,Fredensborg,1DC,1,First decil,39629
1993,210,Fredensborg,2DC,2,Second decil,82442
1993,210,Fredensborg,3DC,3,Third decil,97489
1993,210,Fredensborg,4DC,4,Fourth decil,110785
1993,210,Fredensborg,5DC,5,Fifth decil,122569
1993,210,Fredensborg,6DC,6,Sixth decil,133597
1993,210,Fredensborg,7DC,7,Seventh decil,145205
1993,210,Fredensborg,8DC,8,Eigth decil,159859
1993,210,Fredensborg,9DC,9,Ninth decil,181454
1993,210,Fredensborg,10DC,10,Tenth decil,263340
1994,210,Fredensborg,1DC,1,First decil,42167
1994,210,Fredensborg,2DC,2,Second decil,87036
1994,210,Fredensborg,3DC,3,Third decil,103443
1994,210,Fredensborg,4DC,4,Fourth decil,117959
1994,210,Fredensborg,5DC,5,Fifth decil,130641
1994,210,Fredensborg,6DC,6,Sixth decil,142893
1994,210,Fredensborg,7DC,7,Seventh decil,156072
1994,210,Fredensborg,8DC,8,Eigth decil,171658
1994,210,Fredensborg,9DC,9,Ninth decil,195201
1994,210,Fredensborg,10DC,10,Tenth decil,283041
1995,210,Fredensborg,1DC,1,First decil,54524
1995,210,Fredensborg,2DC,2,Second decil,90187
1995,210,Fredensborg,3DC,3,Third decil,107317
1995,210,Fredensborg,4DC,4,Fourth decil,122055
1995,210,Fredensborg,5DC,5,Fifth decil,135217
1995,210,Fredensborg,6DC,6,Sixth decil,148417
1995,210,Fredensborg,7DC,7,Seventh decil,162194
1995,210,Fredensborg,8DC,8,Eigth decil,179732
1995,210,Fredensborg,9DC,9,Ninth decil,205720
1995,210,Fredensborg,10DC,10,Tenth decil,299658
1996,210,Fredensborg,1DC,1,First decil,56287
1996,210,Fredensborg,2DC,2,Second decil,92114
1996,210,Fredensborg,3DC,3,Third decil,109633
1996,210,Fredensborg,4DC,4,Fourth decil,125192
1996,210,Fredensborg,5DC,5,Fifth decil,139478
1996,210,Fredensborg,6DC,6,Sixth decil,153270
1996,210,Fredensborg,7DC,7,Seventh decil,168412
1996,210,Fredensborg,8DC,8,Eigth decil,186716
1996,210,Fredensborg,9DC,9,Ninth decil,213585
1996,210,Fredensborg,10DC,10,Tenth decil,323634
1997,210,Fredensborg,1DC,1,First decil,63987
1997,210,Fredensborg,2DC,2,Second decil,95768
1997,210,Fredensborg,3DC,3,Third decil,113869
1997,210,Fredensborg,4DC,4,Fourth decil,130170
1997,210,Fredensborg,5DC,5,Fifth decil,145079
1997,210,Fredensborg,6DC,6,Sixth decil,159572
1997,210,Fredensborg,7DC,7,Seventh decil,175562
1997,210,Fredensborg,8DC,8,Eigth decil,194797
1997,210,Fredensborg,9DC,9,Ninth decil,222714
1997,210,Fredensborg,10DC,10,Tenth decil,464065
1998,210,Fredensborg,1DC,1,First decil,66092
1998,210,Fredensborg,2DC,2,Second decil,99430
1998,210,Fredensborg,3DC,3,Third decil,118616
1998,210,Fredensborg,4DC,4,Fourth decil,135735
1998,210,Fredensborg,5DC,5,Fifth decil,150745
